"country","dest","mean","sd"
"AT","Incineration",0.471752114671631,0.0444647693127722
"AT","Landfill",8.28037443958303e-07,2.42419830962621e-07
"AT","Release",0.00131170518882149,0.000249510365266909
"AT","Sludge amended soil",3.54113753567938e-05,2.51331965163362e-05
"AT","Sludge amended soil (MP)",9.26223700305313e-05,2.45583962706113e-05
"BE","Incineration",0.138978997603558,0.0145605585113659
"BE","Landfill",0.00347047834165689,0.000474363387363097
"BE","Release",0.000986314799940944,0.000259222624039484
"BE","Sludge amended soil",1.22543853081524e-05,7.67849071063445e-06
"BE","Sludge amended soil (MP)",3.25802134900552e-05,7.74669548983589e-06
"BG","Incineration",0.139052768770783,0.0247933662412275
"BG","Landfill",0.288595162997625,0.0296627611178371
"BG","Release",0.00397306317408179,0.0011547638175334
"BG","Sludge amended soil",0.000209106699335109,0.00011627627556787
"BG","Sludge amended soil (MP)",0.0001042929986647,2.76170257698482e-05
"CH","Incineration",0.449792447092652,0.043919562820485
"CH","Landfill",0,0
"CH","Release",0.00135208343915617,0.000313783633642278
"CH","Sludge amended soil",0,0
"CH","Sludge amended soil (MP)",0,0
"CY","Incineration",0.143768433044423,0.0272888526155265
"CY","Landfill",0.319528535799374,0.0382731382609827
"CY","Release",0.00300813208434796,0.000691026626996658
"CY","Sludge amended soil",5.62858033950117e-05,3.29343852215519e-05
"CY","Sludge amended soil (MP)",3.3376603344925e-05,9.96385340115901e-06
"CZ","Incineration",0.153594789597257,0.0202796603818686
"CZ","Landfill",0.159867508608945,0.0196680390899306
"CZ","Release",0.00192082870077156,0.000465924806562589
"CZ","Sludge amended soil",7.31059937843916e-05,4.01854904732551e-05
"CZ","Sludge amended soil (MP)",6.68158735135525e-05,2.0288352092343e-05
"DE","Incineration",0.419300176219974,0.0278444197956122
"DE","Landfill",0.00548572430303616,0.000621023836455337
"DE","Release",0.00141576928200049,0.000271034469032996
"DE","Sludge amended soil",1.74712053613829e-05,1.1960937586038e-05
"DE","Sludge amended soil (MP)",6.55080531149936e-05,1.67571830525043e-05
"DK","Incineration",0.462037762521694,0.044369077039549
"DK","Landfill",0.0119369184802245,0.00159068923316218
"DK","Release",0.00169815293775952,0.000330657691645508
"DK","Sludge amended soil",0.000116249619604653,7.65762149620883e-05
"DK","Sludge amended soil (MP)",0.000384843660549198,9.11938917654226e-05
"EE","Incineration",0.180167195258799,0.0191362897709731
"EE","Landfill",0.0564371249689799,0.00753638863049548
"EE","Release",0.000922852993885433,0.000156193928784587
"EE","Sludge amended soil",4.43845156362544e-05,2.48866507239287e-05
"EE","Sludge amended soil (MP)",8.95270640769491e-05,2.23198465930259e-05
"EL","Incineration",0.138426295565914,0.0270953321077598
"EL","Landfill",0.325809823123182,0.0387844001644892
"EL","Release",0.00567406115841012,0.00177014074550609
"EL","Sludge amended soil",2.72647385783738e-05,1.72373137082581e-05
"EL","Sludge amended soil (MP)",1.59229435462946e-05,5.40959855624542e-06
"ES","Incineration",0.199658304685835,0.0229809449923758
"ES","Landfill",0.202448855823919,0.0224407265921885
"ES","Release",0.00205661719892513,0.000461850419429151
"ES","Sludge amended soil",0.000138506175046204,7.9374065585565e-05
"ES","Sludge amended soil (MP)",0.00031070793499218,6.92817061976458e-05
"FI","Incineration",0.2570715529489,0.037342595927219
"FI","Landfill",0.00500152338779166,0.000879065920889136
"FI","Release",0.000934413954388878,0.000173173136080904
"FI","Sludge amended soil",3.67422780816959e-05,2.61666147746858e-05
"FI","Sludge amended soil (MP)",0.000100022442378013,2.69916262389111e-05
"FR","Incineration",0.268770904204634,0.0261766772050997
"FR","Landfill",0.128453107058601,0.0164371939918443
"FR","Release",0.0024532214918129,0.000587953850416515
"FR","Sludge amended soil",5.17557104363911e-05,3.51964103760954e-05
"FR","Sludge amended soil (MP)",0.000124050063873933,2.95003664251654e-05
"HR","Incineration",0.145628380103689,0.0277081887730656
"HR","Landfill",0.31737656866944,0.0376325745581676
"HR","Release",0.00267272313358246,0.000642401526042657
"HR","Sludge amended soil",5.28598823879637e-05,3.48776379500046e-05
"HR","Sludge amended soil (MP)",3.45149739176502e-05,9.3718834031758e-06
"HU","Incineration",0.153646061157369,0.0225149809278855
"HU","Landfill",0.219851385504843,0.0245581227973567
"HU","Release",0.00229692436274905,0.000513765940460839
"HU","Sludge amended soil",2.46661550276964e-05,1.37005482077104e-05
"HU","Sludge amended soil (MP)",4.99053270018409e-05,1.40267467995997e-05
"IE","Incineration",0.209492079748688,0.0198174377561017
"IE","Landfill",0.0222219989630637,0.00291699085907101
"IE","Release",0.000860437295187702,0.000157686216116136
"IE","Sludge amended soil",4.17808855021625e-05,2.59447109224199e-05
"IE","Sludge amended soil (MP)",0.000170456439589089,3.59689642277677e-05
"IT","Incineration",0.286509159238647,0.0245667807177121
"IT","Landfill",0.174482098435025,0.0194293316387517
"IT","Release",0.00512410326554241,0.00127711434121421
"IT","Sludge amended soil",0.000163792429818587,8.82055351657975e-05
"IT","Sludge amended soil (MP)",0.000329937835078929,7.40221827195634e-05
"LT","Incineration",0.0839805929461265,0.0133770586575267
"LT","Landfill",0.0780874926229627,0.0118585985023457
"LT","Release",0.000714875878281954,0.000139785942689534
"LT","Sludge amended soil",2.14619535056598e-05,1.20377828597761e-05
"LT","Sludge amended soil (MP)",3.26183667144729e-05,7.66440191037831e-06
"LU","Incineration",0.453441728231296,0.0445549120504012
"LU","Landfill",0,0
"LU","Release",0.00197732404449359,0.000488065169969029
