"country","dest","mean","sd"
"AT","Incineration",68945.3896373394,7323.62020508766
"AT","Landfill",0.120489858168508,0.0338260026263588
"AT","Release",191.447260813497,36.3298664342466
"AT","Sludge amended soil",5.15022844313572,3.61290943492478
"AT","Sludge amended soil (MP)",13.482485874579,3.40701332024465
"BE","Incineration",73392.7069106006,7607.91964339969
"BE","Landfill",1832.62370860847,248.175087866863
"BE","Release",520.948107112756,137.003372821046
"BE","Sludge amended soil",6.46717553306016,4.04630344182402
"BE","Sludge amended soil (MP)",17.1954120713293,4.0362100885367
"BG","Incineration",15096.6591397566,2966.79339238941
"BG","Landfill",31312.0159526186,4002.14809530588
"BG","Release",431.198673623831,130.202304383187
"BG","Sludge amended soil",22.6187170206946,12.5482642610513
"BG","Sludge amended soil (MP)",11.2771186995135,2.95455049209554
"CH","Incineration",85129.9979578814,9147.53775895272
"CH","Landfill",0,0
"CH","Release",255.85372123206,60.3620667711508
"CH","Sludge amended soil",0,0
"CH","Sludge amended soil (MP)",0,0
"CY","Incineration",12709.4075678596,2517.88477997122
"CY","Landfill",28222.3196866266,3590.12117354451
"CY","Release",265.575206962143,61.736918541996
"CY","Sludge amended soil",4.94875012682423,2.83803433176671
"CY","Sludge amended soil (MP)",2.93811400452183,0.8497050189447
"CZ","Incineration",24636.3154151933,3551.39185129531
"CZ","Landfill",25641.4346423716,3480.36484916489
"CZ","Release",308.019588693376,76.5965854848925
"CZ","Sludge amended soil",11.6971285304838,6.41132802859973
"CZ","Sludge amended soil (MP)",10.6941234063513,3.2263595499447
"DE","Incineration",90981.0804657207,9448.12868243938
"DE","Landfill",1190.25356017395,164.758905217617
"DE","Release",306.978177772118,62.8262006805339
"DE","Sludge amended soil",3.7806534015393,2.58234918534399
"DE","Sludge amended soil (MP)",14.1656687445763,3.60610701973769
"DK","Incineration",79959.1295753726,8419.57676253591
"DK","Landfill",2065.74770808876,289.260446466329
"DK","Release",293.57608194532,57.2721694402093
"DK","Sludge amended soil",20.0660489730115,13.1439352632774
"DK","Sludge amended soil (MP)",66.3483974856571,14.8005723741899
"EE","Incineration",64980.3348061556,7266.90047544589
"EE","Landfill",20349.9568168737,2771.36140340037
"EE","Release",332.801509052181,57.398800613546
"EE","Sludge amended soil",15.9873293700235,8.94233606587714
"EE","Sludge amended soil (MP)",32.2323586925808,7.86550346067923
"EL","Incineration",15769.9925293814,3201.56699324443
"EL","Landfill",37098.0379630027,4730.05542411377
"EL","Release",646.078985684588,203.775083078075
"EL","Sludge amended soil",3.09044501271114,1.91741998538871
"EL","Sludge amended soil (MP)",1.80536260706873,0.592949972538163
"ES","Incineration",33559.6994358033,4693.71114652365
"ES","Landfill",34029.5769050207,4648.05290933672
"ES","Release",345.734918263609,82.8144627011393
"ES","Sludge amended soil",23.2141793821566,13.2944512251726
"ES","Sludge amended soil (MP)",52.0641526323027,11.5931472538904
"FI","Incineration",58956.903407179,6149.6424524551
"FI","Landfill",1146.63122653859,161.484532300738
"FI","Release",214.445916916991,34.2546876808026
"FI","Sludge amended soil",8.41329649520684,5.84433290567893
"FI","Sludge amended soil (MP)",22.8866721698848,5.45482732421055
"FR","Incineration",44625.8722422997,5132.53143016481
"FR","Landfill",21326.3017165936,3015.91575624708
"FR","Release",407.204418150473,100.453569066145
"FR","Sludge amended soil",8.5638566654392,5.78341751333096
"FR","Sludge amended soil (MP)",20.5298621966972,4.75448156981733
"HR","Incineration",10749.2303298138,2139.53037344125
"HR","Landfill",23410.7835505496,3000.17345323801
"HR","Release",197.090615393895,48.1575197631255
"HR","Sludge amended soil",3.8826857224265,2.53442009921127
"HR","Sludge amended soil (MP)",2.53743469792188,0.665894546846979
"HU","Incineration",41152.2348347122,6790.80882867446
"HU","Landfill",58880.8710222814,7928.39971102712
"HU","Release",614.797285075909,143.915033630513
"HU","Sludge amended soil",6.59010684723626,3.66292065602801
"HU","Sludge amended soil (MP)",13.3255250280467,3.73417486260806
"IE","Incineration",114522.516805073,11990.5697705783
"IE","Landfill",12149.4520143401,1696.76700665123
"IE","Release",470.298489728853,88.3755121493608
"IE","Sludge amended soil",22.7887225515569,14.0803037006917
"IE","Sludge amended soil (MP)",93.0188694887175,19.273909471892
"IT","Incineration",42412.8682529056,5078.34245734774
"IT","Landfill",25828.2922221983,3587.35065241673
"IT","Release",758.728541578674,200.647363610143
"IT","Sludge amended soil",24.1830858429844,13.0513872141153
"IT","Sludge amended soil (MP)",48.6548593586316,10.8310041446899
"LT","Incineration",33909.8279247631,4995.66301393416
"LT","Landfill",31511.4228384375,4230.73051789672
"LT","Release",288.723833284505,53.9252006819753
"LT","Sludge amended soil",8.64226774144234,4.74215822204366
"LT","Sludge amended soil (MP)",13.1613209561749,2.94314424620091
"LU","Incineration",77307.8704192459,8507.65558569078
"LU","Landfill",0,0
"LU","Release",336.982493241313,84.3995160236828
"LU","Sludge amended soil",7.89924766217282,5.05634069994294
"LU","Sludge amended soil (MP)",9.50826890619864,2.54436136492316
"LV","Incineration",16246.972952289,3151.56334034313
"LV","Landfill",34737.8631988905,4423.83657311838
"LV","Release",237.277295023358,45.5143439626435
"LV","Sludge amended soil",11.7144324995633,7.84660122813997
"LV","Sludge amended soil (MP)",24.97046194372,5.83395267380426
"MT","Incineration",16773.024582985,3458.38784516665
"MT","Landfill",39098.7130732264,5062.95231919741
"MT","Release",146.678850666928,31.0534166909735
"MT","Sludge amended soil",0,0
"MT","Sludge amended soil (MP)",0,0
"NL","Incineration",76699.2183876999,8020.28055469427
"NL","Landfill",3.99381662718463,1.12338746606745
"NL","Release",309.746148498555,72.0660933440322
"NL","Sludge amended soil",0,0
"NL","Sludge amended soil (MP)",0,0
"NO","Incineration",95480.1535400346,9661.81166615306
"NO","Landfill",2703.18277381329,361.055679371958
"NO","Release",414.699129830112,66.73315113775
"NO","Sludge amended soil",13.1180733762922,8.70197148929281
"NO","Sludge amended soil (MP)",48.3253822418762,11.9015020362379
"PL","Incineration",33261.4734783782,4469.30982768838
"PL","Landfill",27613.4750918151,3816.90517546329
"PL","Release",499.378442942042,149.137269077786
"PL","Sludge amended soil",14.0320594419186,8.24388009804206
"PL","Sludge amended soil (MP)",16.6101916690185,5.0367973820481
"PT","Incineration",51403.4527862849,6215.90615288726
"PT","Landfill",31601.4744966744,4367.56884018289
"PT","Release",561.259178037548,155.536790727489
"PT","Sludge amended soil",27.5969386444106,14.8522171654311
"PT","Sludge amended soil (MP)",53.5303258942014,11.6030350698585
"RO","Incineration",18182.5330745503,3292.79513191767
"RO","Landfill",33498.7834696048,4329.37811153623
"RO","Release",526.646485467208,144.237842066835
"RO","Sludge amended soil",11.7013207507829,5.53116039939869
"RO","Sludge amended soil (MP)",8.42288593851234,2.38230285899872
"SE","Incineration",50077.4937411857,5227.30787383967
"SE","Landfill",630.460609522322,87.0086645798215
"SE","Release",157.372465153384,25.4495220319099
"SE","Sludge amended soil",12.5056746377256,8.59373512542222
"SE","Sludge amended soil (MP)",27.5178390646868,6.34460238070876
"SI","Incineration",28308.2292625842,3503.6853642046
"SI","Landfill",19159.6870781674,2553.36033964753
"SI","Release",152.109601268807,35.2340580351086
"SI","Sludge amended soil",0,0
"SI","Sludge amended soil (MP)",0,0
"SK","Incineration",23513.1945445736,3371.75586227082
"SK","Landfill",24776.3223347527,3314.8842392233
"SK","Release",494.002682448574,137.534280208635
"SK","Sludge amended soil",0,0
"SK","Sludge amended soil (MP)",0,0
"UK","Incineration",46754.9940798446,5116.53176980656
"UK","Landfill",14322.2342420807,2016.08773883371
"UK","Release",263.446417405532,64.2154140235358
"UK","Sludge amended soil",22.275610695438,14.5079697479398
"UK","Sludge amended soil (MP)",55.3199006488279,12.3726765825586
