"country","dest","mean","sd"
"AT","Incineration",613.687325666895,65.1880121571784
"AT","Landfill",0.00107248793890882,0.000301087414241388
"AT","Release",1.70408432112563,0.323374466242681
"AT","Sludge amended soil",0.0458425129869714,0.0321587381064693
"AT","Sludge amended soil (MP)",0.120008469648723,0.0303260436123501
"BE","Incineration",845.663061814981,87.6617976158944
"BE","Landfill",21.1162967250186,2.85958255944066
"BE","Release",6.0025933073203,1.57861314312814
"BE","Sludge amended soil",0.0745176420491537,0.0466232886302107
"BE","Sludge amended soil (MP)",0.198133103867167,0.0465069885725588
"BG","Incineration",99.1741054703248,19.489681662789
"BG","Landfill",205.697243597139,26.2912114287906
"BG","Release",2.83266266667019,0.855334743126862
"BG","Sludge amended soil",0.148588572256124,0.082432998703518
"BG","Sludge amended soil (MP)",0.0740824939447465,0.0194092546839609
"CH","Incineration",732.63157171546,78.7240118222932
"CH","Landfill",0,0
"CH","Release",2.20188556809591,0.519477938580727
"CH","Sludge amended soil",0,0
"CH","Sludge amended soil (MP)",0,0
"CY","Incineration",11.469337962056,2.27221224410465
"CY","Landfill",25.4686397324827,3.2398294605206
"CY","Release",0.23966276844364,0.055713185662935
"CY","Sludge amended soil",0.00446589562819986,0.0025611244839819
"CY","Sludge amended soil (MP)",0.00265143928298663,0.000766798450541247
"CZ","Incineration",263.459254234837,37.9783678228491
"CZ","Landfill",274.207937938009,37.2188093947135
"CZ","Release",3.29394269229205,0.819119212783725
"CZ","Sludge amended soil",0.125088378980154,0.0685623508468357
"CZ","Sludge amended soil (MP)",0.114362303365993,0.0345024922191761
"DE","Incineration",7566.59722556034,785.769787623247
"DE","Landfill",98.9894738557079,13.7024562549099
"DE","Release",25.5303653940803,5.22504847522597
"DE","Sludge amended soil",0.314424508836986,0.214765488398589
"DE","Sludge amended soil (MP)",1.17811207860191,0.299908060345596
"DK","Incineration",465.583061203686,49.0252000485539
"DK","Landfill",12.0283593219941,1.68429502504762
"DK","Release",1.70942394763618,0.333482269146181
"DK","Sludge amended soil",0.11683984751624,0.0765340199254067
"DK","Sludge amended soil (MP)",0.386330993988777,0.0861802251992549
"EE","Incineration",86.3516521402173,9.65690410591482
"EE","Landfill",27.0428337644185,3.68283168400331
"EE","Release",0.442256264562844,0.0762766347485345
"EE","Sludge amended soil",0.0212453861392012,0.0118833720322474
"EE","Sludge amended soil (MP)",0.042833226910625,0.0104523810283586
"EL","Incineration",167.36048078738,33.9769210584029
"EL","Landfill",393.706303803821,50.1981436234509
"EL","Release",6.85657202876538,2.16258161269863
"EL","Sludge amended soil",0.0327976289278931,0.0203487940801564
"EL","Sludge amended soil (MP)",0.0191595749555141,0.00629273554200875
"ES","Incineration",1587.97953588831,222.097258716763
"ES","Landfill",1610.21322147062,219.93679996664
"ES","Release",16.3595021491434,3.91861888681565
"ES","Sludge amended soil",1.09844970071386,0.629067507795279
"ES","Sludge amended soil (MP)",2.46357417746293,0.548565121416949
"FI","Incineration",325.754106740459,33.9785702454106
"FI","Landfill",6.33547234294386,0.89224919444501
"FI","Release",1.18487630917411,0.189267151805237
"FI","Sludge amended soil",0.0464859198185944,0.0322916458490845
"FI","Sludge amended soil (MP)",0.126455546646887,0.030139513775842
"FR","Incineration",3011.07052924751,346.310634465471
"FR","Landfill",1438.96343914614,203.494847182416
"FR","Release",27.475568795943,6.77796906087349
"FR","Sludge amended soil",0.577834675857868,0.390228294881781
"FR","Sludge amended soil (MP)",1.38522475693804,0.320802230127787
"HR","Incineration",42.2822157438562,8.41586625876526
"HR","Landfill",92.086574614706,11.8012152802197
"HR","Release",0.775258103648655,0.189428133720972
"HR","Sludge amended soil",0.0152725869987076,0.00996916933886862
"HR","Sludge amended soil (MP)",0.00998102729605738,0.00261930352486261
"HU","Incineration",398.739476553825,65.7987000851464
"HU","Landfill",570.518898542389,76.8212458784331
"HU","Release",5.95700205887967,1.39444687289869
"HU","Sludge amended soil",0.0638540231230467,0.035491415494422
"HU","Sludge amended soil (MP)",0.129116022394155,0.0361818242935579
"IE","Incineration",574.05556773711,60.1039300320007
"IE","Landfill",60.9003431670811,8.50521429753997
"IE","Release",2.35741820961485,0.442991092199886
"IE","Sludge amended soil",0.114230750661934,0.0705789303300874
"IE","Sludge amended soil (MP)",0.466266385199145,0.0966123986188058
"IT","Incineration",2529.56657295125,302.879900729796
"IT","Landfill",1540.43778063073,213.954930887905
"IT","Release",45.251699207822,11.966907328986
"IT","Sludge amended soil",1.44231522410733,0.77840415391401
"IT","Sludge amended soil (MP)",2.90184821057951,0.645977203723475
"LT","Incineration",95.285836542542,14.0376981689057
"LT","Landfill",88.5463734132841,11.8882554484879
"LT","Release",0.811307330881294,0.151528573636735
"LT","Sludge amended soil",0.0242845735812949,0.0133253555343036
"LT","Sludge amended soil (MP)",0.0369830091764695,0.0082701676395069
"LU","Incineration",48.4030761324532,5.32671122344568
"LU","Landfill",0,0
"LU","Release",0.210987434878332,0.052843212178556
"LU","Sludge amended soil",0.0049457821552677,0.00316581536295987
"LU","Sludge amended soil (MP)",0.00595320322832222,0.00159304500546931
"LV","Incineration",30.9939441267579,6.01215859528908
"LV","Landfill",66.2685531779435,8.43924243462361
"LV","Release",0.452647963783684,0.0868265761189358
"LV","Sludge amended soil",0.0223473300186044,0.0149687649978919
"LV","Sludge amended soil (MP)",0.0476355259884861,0.0111292856669995
"MT","Incineration",8.63567557167276,1.78056827402327
"MT","Landfill",20.130167919316,2.60668631630038
"MT","Release",0.0755183396601214,0.0159880068504312
"MT","Sludge amended soil",0,0
"MT","Sludge amended soil (MP)",0,0
"NL","Incineration",1335.14816351745,139.613715479688
"NL","Landfill",0.0695227024121297,0.0195554628035038
"NL","Release",5.39193240841123,1.25449664550417
"NL","Sludge amended soil",0,0
"NL","Sludge amended soil (MP)",0,0
"NO","Incineration",512.497362538419,51.8605470630099
"NO","Landfill",14.5095497930647,1.93799524348334
"NO","Release",2.22593075529351,0.358195527383964
"NO","Sludge amended soil",0.0704123082931184,0.0467085281264983
"NO","Sludge amended soil (MP)",0.25939035521385,0.0638822642996698
"PL","Incineration",1262.54360037562,169.646679204152
"PL","Landfill",1048.15609819468,144.88261338315
"PL","Release",18.9554758514192,5.66097304059773
"PL","Sludge amended soil",0.532630848720549,0.312922338416934
"PL","Sludge amended soil (MP)",0.630491947579055,0.191187450105821
"PT","Incineration",533.331127021556,64.4924816191357
"PT","Landfill",327.877780485423,45.3152519065893
"PT","Release",5.82328566951489,1.61375564083003
"PT","Sludge amended soil",0.286329139226525,0.154097619717128
"PT","Sludge amended soil (MP)",0.555398275631068,0.120386072048635
"RO","Incineration",351.447236227624,63.6459036720252
"RO","Landfill",647.49255888107,83.6818481586298
"RO","Release",10.179464600865,2.78794988277944
"RO","Sludge amended soil",0.226172933177921,0.106910903311993
"RO","Sludge amended soil (MP)",0.162804597797983,0.046047146028523
"SE","Incineration",517.179773509039,53.98548729748
"SE","Landfill",6.51113805583603,0.898589727219254
"SE","Release",1.62527814002098,0.26283220379201
"SE","Sludge amended soil",0.129153467826154,0.0887525643502241
"SE","Sludge amended soil (MP)",0.28419293202823,0.0655244457563816
"SI","Incineration",59.330113690509,7.34323751110722
"SI","Landfill",40.156040919335,5.35148835481402
"SI","Release",0.318800581024844,0.0738456881075207
"SI","Sludge amended soil",0,0
"SI","Sludge amended soil (MP)",0,0
"SK","Incineration",128.332029648575,18.4026152832796
"SK","Landfill",135.226020710144,18.0922171873824
"SK","Release",2.69620390246365,0.750644634525146
"SK","Sludge amended soil",0,0
"SK","Sludge amended soil (MP)",0,0
"UK","Incineration",3133.77881940837,342.938315031504
"UK","Landfill",959.955512726421,135.129373414884
"UK","Release",17.657638914564,4.30407292968189
"UK","Sludge amended soil",1.49303488024273,0.972404535675271
"UK","Sludge amended soil (MP)",3.70784632437384,0.829285353936699
