Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater (MP) to Landfill,13.2$\pm$6.8,35.8$\pm$18,148$\pm$73,6.01$\pm$3.1,0.104$\pm$0.055,47.3$\pm$23,71.8$\pm$31,322$\pm$85,49$\pm$19,0.00612$\pm$0.0031,4,4,6,2,1,4,4,6,4,2
Storm water and wastewater (MP) to End-of-life,14.8$\pm$7.7,40.2$\pm$20,165$\pm$81,6.82$\pm$3.5,0.117$\pm$0.061,53.6$\pm$26,80.9$\pm$36,362$\pm$95,55$\pm$21,0.00694$\pm$0.0035,4,4,6,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Sludge amended soil (MP),119$\pm$53,323$\pm$140,1330$\pm$560,54.2$\pm$24,0.943$\pm$0.42,428$\pm$180,648$\pm$230,2900$\pm$650,442$\pm$150,0.0551$\pm$0.024,6,6,8,4,1,6,6,8,6,4
On-the-go consumption to Waste collection and recycling,7680$\pm$4700,14300$\pm$7700,28600$\pm$16000,4280$\pm$2500,0$\pm$0,3400$\pm$1900,77200$\pm$46000,135000$\pm$50000,21900$\pm$9000,4.28$\pm$2.5,8,10,10,8,0,8,10,10,10,8
On-the-go consumption to Litter,2100$\pm$1500,3840$\pm$2500,7810$\pm$5300,1170$\pm$800,0$\pm$0,918$\pm$600,20900$\pm$15000,36800$\pm$16000,5940$\pm$2900,1.17$\pm$0.8,8,8,8,8,0,6,10,10,8,8
Litter to Waste collection and recycling,10300$\pm$5800,13800$\pm$6800,15100$\pm$6900,3130$\pm$1600,4720$\pm$3900,8860$\pm$7500,21900$\pm$13000,77800$\pm$20000,24100$\pm$8900,7.85$\pm$4.2,10,10,10,8,8,8,10,10,10,8
Litter to Storm water and wastewater,185$\pm$160,204$\pm$170,230$\pm$180,56.1$\pm$45,15.7$\pm$15,17.8$\pm$15,378$\pm$350,1090$\pm$460,388$\pm$230,0.0719$\pm$0.048,6,6,6,4,4,4,6,8,6,4
Litter to Soil,3280$\pm$1800,6410$\pm$4300,6400$\pm$3500,1000$\pm$510,4400$\pm$4100,8780$\pm$7800,7400$\pm$5300,37700$\pm$12000,9690$\pm$4600,5.41$\pm$4.1,8,8,8,8,8,8,8,10,8,8
Litter to Fresh water,8.7$\pm$6.8,9.49$\pm$7,11.9$\pm$7.8,2.9$\pm$2,0.723$\pm$0.63,1.17$\pm$0.7,18.4$\pm$15,53.3$\pm$20,18.2$\pm$9.7,0.00363$\pm$0.0021,2,2,4,2,1,2,4,4,4,2
Litter to Coastal and ocean water,13.3$\pm$10,15.1$\pm$11,19.1$\pm$12,4.54$\pm$3,1.09$\pm$0.92,1.93$\pm$1.1,31.2$\pm$24,86.2$\pm$31,28.3$\pm$15,0.00563$\pm$0.0031,4,4,4,2,2,2,4,4,4,2
Dumping to Litter,2770$\pm$1000,3130$\pm$1200,5280$\pm$1700,1600$\pm$550,235$\pm$100,1150$\pm$460,4070$\pm$1500,18200$\pm$2900,5910$\pm$1600,1.84$\pm$0.56,8,8,8,8,6,8,8,10,8,8
Unintended C&D waste to Waste collection and recycling,1510$\pm$1200,51.5$\pm$40,0$\pm$0,0$\pm$0,8160$\pm$6300,4370$\pm$3000,0$\pm$0,14100$\pm$7100,1560$\pm$1200,8.16$\pm$6.3,8,4,0,0,8,8,0,10,8,8
Unintended C&D waste to Soil,42.4$\pm$41,1.44$\pm$1.4,0$\pm$0,0$\pm$0,200$\pm$170,123$\pm$110,0$\pm$0,367$\pm$210,43.8$\pm$41,0.2$\pm$0.17,4,2,0,0,6,6,0,6,4,6
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4.08$\pm$3.9,0$\pm$0,0$\pm$0,4.08$\pm$3.9,0$\pm$0,0.00408$\pm$0.0039,0,0,0,0,2,0,0,2,0,2
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,26$\pm$25,0$\pm$0,0$\pm$0,26$\pm$25,0$\pm$0,0.026$\pm$0.025,0,0,0,0,4,0,0,4,0,4
Indoor air to Waste collection and recycling,5.29$\pm$4.1,14.3$\pm$11,60.5$\pm$46,10$\pm$7.9,2.17$\pm$1.7,75.1$\pm$49,210$\pm$180,377$\pm$210,19.6$\pm$11,0.0122$\pm$0.0081,2,4,4,4,2,4,6,6,4,4
Indoor air to Storm water and wastewater (MP),0.945$\pm$0.82,2.53$\pm$2.1,10.7$\pm$8.9,1.78$\pm$1.5,0.387$\pm$0.33,13.4$\pm$9.7,37.4$\pm$35,67.1$\pm$40,3.47$\pm$2.2,0.00216$\pm$0.0016,1,2,4,2,1,4,4,4,2,2
Indoor air to Air (MP),4.21$\pm$4,11$\pm$10,47.9$\pm$44,7.85$\pm$7.5,1.71$\pm$1.6,59.4$\pm$50,165$\pm$170,297$\pm$200,15.2$\pm$11,0.00956$\pm$0.0077,2,4,4,2,2,4,6,6,4,2
Air to Soil (MP),12.8$\pm$7.1,34$\pm$18,161$\pm$82,10.9$\pm$7.1,21.1$\pm$9.4,129$\pm$60,260$\pm$200,630$\pm$240,46.8$\pm$20,0.032$\pm$0.012,4,4,6,4,4,6,6,6,4,4
Air to Fresh water (MP),0.289$\pm$0.24,0.763$\pm$0.63,3.6$\pm$2.9,0.242$\pm$0.22,0.479$\pm$0.36,2.92$\pm$2.2,5.83$\pm$6.1,14.1$\pm$7.4,1.05$\pm$0.68,0.000721$\pm$0.00043,1,1,2,1,1,2,2,4,2,1
Air to Coastal and ocean water (MP),1.87$\pm$1.6,4.95$\pm$4.1,23.5$\pm$19,1.59$\pm$1.5,3.09$\pm$2.3,18.8$\pm$14,38.5$\pm$40,92.2$\pm$48,6.82$\pm$4.4,0.00468$\pm$0.0028,2,2,4,2,2,4,4,4,2,2
Organic waste collection to Compost,45.6$\pm$30,27$\pm$19,61.2$\pm$43,7.26$\pm$5.1,0.977$\pm$0.68,6.11$\pm$4.2,24.9$\pm$18,173$\pm$59,72.5$\pm$35,0.00824$\pm$0.0052,4,4,4,2,1,2,4,6,4,2
Organic waste collection to Compost (MP),37.7$\pm$27,22.4$\pm$17,51$\pm$38,6.02$\pm$4.5,0.815$\pm$0.59,5.12$\pm$3.8,20.9$\pm$16,144$\pm$53,60.1$\pm$32,0.00684$\pm$0.0045,4,4,4,2,1,2,4,6,4,2
Organic waste collection to End-of-life,7020$\pm$2500,4170$\pm$1700,9450$\pm$3900,1120$\pm$450,151$\pm$60,947$\pm$370,3840$\pm$1700,26700$\pm$5300,11200$\pm$3100,1.27$\pm$0.45,8,8,8,8,6,6,8,10,10,8
Compost to Soil,45.6$\pm$30,27$\pm$19,61.2$\pm$43,7.26$\pm$5.1,0.977$\pm$0.68,6.11$\pm$4.2,24.9$\pm$18,173$\pm$59,72.5$\pm$35,0.00824$\pm$0.0052,4,4,4,2,1,2,4,6,4,2
Compost (MP) to Soil (MP),37.7$\pm$27,22.4$\pm$17,51$\pm$38,6.02$\pm$4.5,0.815$\pm$0.59,5.12$\pm$3.8,20.9$\pm$16,144$\pm$53,60.1$\pm$32,0.00684$\pm$0.0045,4,4,4,2,1,2,4,6,4,2
Total to Soil (MP),1340$\pm$590,265$\pm$78,956$\pm$320,66.2$\pm$19,39.8$\pm$14,367$\pm$110,513$\pm$240,3540$\pm$730,1600$\pm$590,0.106$\pm$0.024,8,6,6,4,4,6,6,8,8,6
Total to Fresh water (MP),3.85$\pm$3.2,8.64$\pm$8.8,30.8$\pm$34,1.79$\pm$1.5,0.661$\pm$0.36,16$\pm$12,19$\pm$18,80.7$\pm$42,12.5$\pm$9.3,0.00245$\pm$0.0015,2,2,4,2,1,4,4,4,4,2
Total to Soil,3560$\pm$1800,6620$\pm$4300,7440$\pm$3500,1040$\pm$520,4610$\pm$4100,8960$\pm$7800,8480$\pm$5400,40700$\pm$12000,10200$\pm$4700,5.64$\pm$4.1,8,8,8,8,8,8,8,10,10,8
Total to Fresh water,39.8$\pm$37,44.9$\pm$39,52.1$\pm$42,12.1$\pm$10,7.41$\pm$5.1,4.08$\pm$3.4,83.2$\pm$80,244$\pm$110,84.7$\pm$53,0.0195$\pm$0.012,4,4,4,4,2,2,4,6,4,4
Total to Coastal and ocean water,74.7$\pm$52,87.5$\pm$54,84.2$\pm$57,18.3$\pm$15,30.8$\pm$25,6.29$\pm$4.8,128$\pm$110,430$\pm$150,162$\pm$75,0.0491$\pm$0.029,4,4,4,4,4,2,6,6,6,4
Total to Coastal and ocean water (MP),11.1$\pm$6.3,24.7$\pm$17,90.3$\pm$69,4.52$\pm$3.1,3.24$\pm$2.3,46.2$\pm$27,71.2$\pm$53,251$\pm$94,35.8$\pm$19,0.00776$\pm$0.0039,4,4,4,2,2,4,4,6,4,2
Total to Landfill,227000$\pm$78000,315000$\pm$97000,459000$\pm$130000,119000$\pm$39000,24200$\pm$8600,93900$\pm$34000,302000$\pm$98000,1540000$\pm$210000,541000$\pm$120000,144$\pm$40,10,10,10,10,10,10,10,10,10,10
Total to Sludge amended soil,32$\pm$41,441$\pm$400,473$\pm$420,9.62$\pm$12,2.71$\pm$3.7,3.04$\pm$3.8,482$\pm$450,1440$\pm$780,473$\pm$400,0.0123$\pm$0.012,4,6,6,2,2,2,6,8,6,4
Total to Sludge amended soil (MP),119$\pm$53,323$\pm$140,1330$\pm$560,54.2$\pm$24,0.943$\pm$0.42,428$\pm$180,648$\pm$230,2900$\pm$650,442$\pm$150,0.0551$\pm$0.024,6,6,8,4,1,6,6,8,6,4
External to Import,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
External to Production,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Construction,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
External to Automotive,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Agriculture,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Hygiene products,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to PCCP,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Household textiles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Other products,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Fishing gear,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
External to Waste collection and recycling,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to On-the-go consumption,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Litter,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Dumping,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Unintended C&D waste,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1
External to Indoor air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Organic waste collection,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Total,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
