Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Automotive to Soil,0.162$\pm$0.082,0.556$\pm$0.28,2.64$\pm$1.3,0.00348$\pm$0.0018,0$\pm$0,0.183$\pm$0.095,0.000122$\pm$0.000062,3.54$\pm$1.4,0.717$\pm$0.29,0.00000348$\pm$0.0000018,1,1,2,1,0,1,1,2,1,1
Automotive to Export,3.43$\pm$1.5,9.13$\pm$3.9,42$\pm$16,1.56$\pm$0.7,0$\pm$0,11.3$\pm$5.1,7.77$\pm$3.6,75.1$\pm$18,12.6$\pm$4.2,0.00156$\pm$0.0007,2,2,4,2,0,4,2,4,4,2
Agriculture to Waste collection and recycling,1470$\pm$480,134$\pm$42,662$\pm$200,2.68$\pm$1.1,0$\pm$0,26$\pm$11,60.3$\pm$26,2350$\pm$520,1600$\pm$480,0.00268$\pm$0.0011,8,6,6,2,0,4,4,8,8,2
Agriculture to Dumping,4.56$\pm$2.3,0.41$\pm$0.18,2.03$\pm$0.92,0.00816$\pm$0.0053,0$\pm$0,0.0803$\pm$0.041,0.185$\pm$0.12,7.27$\pm$2.5,4.97$\pm$2.3,0.00000816$\pm$0.0000053,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,19.5$\pm$7.5,0.834$\pm$0.36,8.79$\pm$3.2,0.00741$\pm$0.0037,0$\pm$0,0.144$\pm$0.067,0.816$\pm$0.41,30.1$\pm$8.2,20.4$\pm$7.5,0.00000741$\pm$0.0000037,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil (MP),27.7$\pm$14,0.519$\pm$0.47,4.49$\pm$3.6,0.00275$\pm$0.0017,0$\pm$0,0.192$\pm$0.096,0.749$\pm$0.61,33.7$\pm$14,28.2$\pm$14,0.00000275$\pm$0.0000017,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,3.33$\pm$1.7,1.4$\pm$0.84,0.801$\pm$0.34,0.0572$\pm$0.039,0$\pm$0,0.525$\pm$0.33,0.0379$\pm$0.026,6.15$\pm$2,4.73$\pm$1.9,0.0000572$\pm$0.000039,2,2,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0$\pm$0,65$\pm$43,91.2$\pm$59,0$\pm$0,0$\pm$0,0$\pm$0,139$\pm$82,295$\pm$120,65$\pm$43,0$\pm$0,0,4,4,0,0,0,6,6,4,0
Hygiene products to Storm water and wastewater,0$\pm$0,37$\pm$25,39.8$\pm$27,0$\pm$0,0$\pm$0,0$\pm$0,37.2$\pm$29,114$\pm$52,37$\pm$25,0$\pm$0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Dumping,0$\pm$0,0.306$\pm$0.21,0.393$\pm$0.28,0$\pm$0,0$\pm$0,0$\pm$0,0.524$\pm$0.35,1.22$\pm$0.54,0.306$\pm$0.21,0$\pm$0,0,1,1,0,0,0,1,2,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.0321$\pm$0.026,0.0000768$\pm$0.000062,0$\pm$0,0$\pm$0,0$\pm$0,0.000165$\pm$0.00013,0.0324$\pm$0.026,0.0321$\pm$0.026,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,0.612$\pm$0.4,0.00146$\pm$0.00094,0$\pm$0,0$\pm$0,0$\pm$0,0.00314$\pm$0.002,0.617$\pm$0.4,0.612$\pm$0.4,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0$\pm$0,19.3$\pm$14,505$\pm$230,0$\pm$0,0$\pm$0,0$\pm$0,2640$\pm$930,3160$\pm$950,19.3$\pm$14,0$\pm$0,0,4,6,0,0,0,8,8,4,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.151$\pm$0.11,3.93$\pm$1.8,0$\pm$0,0$\pm$0,0$\pm$0,20.5$\pm$7.5,24.6$\pm$7.9,0.151$\pm$0.11,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Dumping,0$\pm$0,0.0587$\pm$0.052,1.52$\pm$0.91,0$\pm$0,0$\pm$0,0$\pm$0,7.91$\pm$4,9.48$\pm$4.1,0.0587$\pm$0.052,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0$\pm$0,0.0562$\pm$0.067,1.46$\pm$1.4,0$\pm$0,0$\pm$0,0$\pm$0,7.55$\pm$6.5,9.06$\pm$7.5,0.0562$\pm$0.067,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Air (MP),0$\pm$0,0.0233$\pm$0.024,0.609$\pm$0.49,0$\pm$0,0$\pm$0,0$\pm$0,3.16$\pm$2.3,3.8$\pm$2.6,0.0233$\pm$0.024,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0$\pm$0,2.74$\pm$1.4,392$\pm$130,0$\pm$0,0$\pm$0,0$\pm$0,1200$\pm$370,1590$\pm$390,2.74$\pm$1.4,0$\pm$0,0,2,6,0,0,0,8,8,2,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.00171$\pm$0.0009,0.245$\pm$0.086,0$\pm$0,0$\pm$0,0$\pm$0,0.746$\pm$0.24,0.993$\pm$0.26,0.00171$\pm$0.0009,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Household textiles to Dumping,0$\pm$0,0.00816$\pm$0.0058,1.18$\pm$0.59,0$\pm$0,0$\pm$0,0$\pm$0,3.59$\pm$1.7,4.77$\pm$1.8,0.00816$\pm$0.0058,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.00486$\pm$0.0049,0.698$\pm$0.63,0$\pm$0,0$\pm$0,0$\pm$0,2.12$\pm$1.8,2.82$\pm$2.4,0.00486$\pm$0.0049,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Air (MP),0$\pm$0,0.000241$\pm$0.00021,0.0347$\pm$0.026,0$\pm$0,0$\pm$0,0$\pm$0,0.106$\pm$0.078,0.141$\pm$0.099,0.000241$\pm$0.00021,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,2570$\pm$1100,2540$\pm$1100,7300$\pm$2500,3030$\pm$1100,209$\pm$86,3440$\pm$1300,761$\pm$430,19800$\pm$3400,5110$\pm$1500,3.24$\pm$1.1,8,8,8,8,6,8,6,10,8,8
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.99$\pm$1.1,0$\pm$0,1.99$\pm$1.1,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Dumping,7.7$\pm$4.4,7.63$\pm$4.2,22$\pm$10,9.99$\pm$4.5,0.626$\pm$0.34,10.7$\pm$5,2.05$\pm$1.5,60.7$\pm$14,15.3$\pm$6.1,0.0106$\pm$0.0045,2,2,4,2,1,4,2,4,4,4
Other products to Organic waste collection,0.655$\pm$0.33,1.55$\pm$0.78,1.79$\pm$0.9,1.26$\pm$0.63,0.271$\pm$0.14,1.14$\pm$0.57,0.0554$\pm$0.028,6.72$\pm$1.5,2.21$\pm$0.85,0.00153$\pm$0.00065,1,2,2,2,1,2,1,2,2,2
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.33$\pm$0.75,0$\pm$0,1.33$\pm$0.75,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.0989$\pm$0.061,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0989$\pm$0.061,0.0989$\pm$0.061,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.243$\pm$0.15,0.578$\pm$0.36,0.671$\pm$0.42,0.467$\pm$0.29,0.101$\pm$0.062,1.09$\pm$0.59,0.0207$\pm$0.013,3.17$\pm$0.87,0.82$\pm$0.39,0.000568$\pm$0.00029,1,1,1,1,1,2,1,2,1,1
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.33$\pm$0.87,0$\pm$0,1.33$\pm$0.87,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,15.1$\pm$7.5,14.5$\pm$7.1,532$\pm$260,306$\pm$150,0$\pm$0,123$\pm$61,0.0557$\pm$0.027,990$\pm$310,29.6$\pm$10,0.306$\pm$0.15,4,4,6,6,0,6,1,6,4,6
Other products to Fresh water,0.0159$\pm$0.01,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0159$\pm$0.01,0.0159$\pm$0.01,0$\pm$0,1,0,0,0,0,0,0,1,1,0
