Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Clothing to Dumping,0$\pm$0,1.13$\pm$0.97,26.2$\pm$16,0$\pm$0,0$\pm$0,0$\pm$0,138$\pm$71,166$\pm$72,1.13$\pm$0.97,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Clothing to Indoor air (MP),0$\pm$0,2.57$\pm$2.9,60.7$\pm$57,0$\pm$0,0$\pm$0,0$\pm$0,318$\pm$280,382$\pm$320,2.57$\pm$2.9,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Clothing to Air (MP),0$\pm$0,1.08$\pm$1.1,25.5$\pm$20,0$\pm$0,0$\pm$0,0$\pm$0,133$\pm$96,159$\pm$110,1.08$\pm$1.1,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Household textiles to Waste collection and recycling,0$\pm$0,126$\pm$61,16500$\pm$5500,0$\pm$0,0$\pm$0,0$\pm$0,50600$\pm$16000,67300$\pm$17000,126$\pm$61,0$\pm$0,0,6,10,0,0,0,10,10,6,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.0785$\pm$0.039,10.3$\pm$3.6,0$\pm$0,0$\pm$0,0$\pm$0,31.5$\pm$10,41.9$\pm$11,0.0785$\pm$0.039,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Dumping,0$\pm$0,0.158$\pm$0.11,20.7$\pm$10,0$\pm$0,0$\pm$0,0$\pm$0,63.1$\pm$30,83.9$\pm$32,0.158$\pm$0.11,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.224$\pm$0.22,29.4$\pm$26,0$\pm$0,0$\pm$0,0$\pm$0,89.9$\pm$79,119$\pm$100,0.224$\pm$0.22,0$\pm$0,0,1,4,0,0,0,4,6,1,0
Household textiles to Air (MP),0$\pm$0,0.0112$\pm$0.0097,1.47$\pm$1.1,0$\pm$0,0$\pm$0,0$\pm$0,4.47$\pm$3.3,5.95$\pm$4.2,0.0112$\pm$0.0097,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Other products to Waste collection and recycling,108000$\pm$45000,107000$\pm$44000,309000$\pm$100000,128000$\pm$45000,8750$\pm$3700,144000$\pm$56000,33200$\pm$18000,839000$\pm$140000,216000$\pm$63000,137$\pm$45,10,10,10,10,8,10,10,10,10,10
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,83.1$\pm$48,0$\pm$0,83.1$\pm$48,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,136$\pm$78,134$\pm$73,383$\pm$180,176$\pm$79,10.9$\pm$5.8,185$\pm$88,36.7$\pm$27,1060$\pm$240,270$\pm$110,0.187$\pm$0.079,6,6,6,6,4,6,4,8,6,6
