Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,31.7$\pm$18,0$\pm$0,31.7$\pm$18,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,2.39$\pm$1.5,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.39$\pm$1.5,2.39$\pm$1.5,0$\pm$0,2,0,0,0,0,0,0,2,2,0
Other products to Indoor air (MP),5.87$\pm$3.6,14$\pm$8.6,15.9$\pm$9.9,11.1$\pm$6.8,2.42$\pm$1.5,25.9$\pm$14,0.494$\pm$0.3,75.7$\pm$21,19.9$\pm$9.4,0.0135$\pm$0.0069,2,4,4,4,2,4,1,4,4,4
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,32$\pm$21,0$\pm$0,32$\pm$21,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Export,492$\pm$210,465$\pm$210,17000$\pm$7600,9870$\pm$4400,0$\pm$0,3940$\pm$1800,1.78$\pm$0.8,31800$\pm$9000,956$\pm$290,9.87$\pm$4.4,6,6,10,8,0,8,2,10,6,8
Other products to Fresh water,0.381$\pm$0.25,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.381$\pm$0.25,0.381$\pm$0.25,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,604$\pm$94,604$\pm$93,270$\pm$42,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1480$\pm$140,1210$\pm$130,0$\pm$0,6,6,6,0,0,0,0,8,8,0
Fishing gear to Fresh water (MP),0.135$\pm$0.05,0.135$\pm$0.049,0.0592$\pm$0.021,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.329$\pm$0.073,0.27$\pm$0.07,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,22.4$\pm$12,22.7$\pm$12,3.91$\pm$0.97,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,49$\pm$17,45.1$\pm$17,0$\pm$0,4,4,2,0,0,0,0,4,4,0
Fishing gear to Coastal and ocean water (MP),3.53$\pm$0.98,3.53$\pm$0.97,1.55$\pm$0.43,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,8.6$\pm$1.4,7.06$\pm$1.4,0$\pm$0,2,2,2,0,0,0,0,2,2,0
Waste collection and recycling to Storm water and wastewater (MP),42.5$\pm$34,110$\pm$87,430$\pm$350,19.1$\pm$16,0.0813$\pm$0.039,132$\pm$110,3.7$\pm$1.6,738$\pm$380,153$\pm$93,0.0192$\pm$0.016,4,6,6,4,1,6,2,6,6,4
Waste collection and recycling to Litter,1470$\pm$790,4150$\pm$3100,2220$\pm$1500,0$\pm$0,4440$\pm$3400,8340$\pm$6400,508$\pm$400,21100$\pm$8000,5620$\pm$3200,4.44$\pm$3.4,8,8,8,0,8,8,6,10,8,8
Waste collection and recycling to Soil (MP),3.78$\pm$2.7,8.9$\pm$6.8,30.9$\pm$27,1.73$\pm$1.3,0.498$\pm$0.41,9.72$\pm$8.5,2.31$\pm$1.1,57.8$\pm$29,12.7$\pm$7.3,0.00223$\pm$0.0013,2,2,4,2,1,2,2,4,4,2
Waste collection and recycling to Soil,25.6$\pm$13,29.3$\pm$15,46.3$\pm$23,12.9$\pm$6.6,2.84$\pm$1.5,10.5$\pm$5.6,37.2$\pm$18,165$\pm$36,54.9$\pm$20,0.0158$\pm$0.0068,4,4,4,4,2,4,4,6,4,4
Waste collection and recycling to Air (MP),2.6$\pm$2.6,6.51$\pm$6.7,26.4$\pm$27,1.18$\pm$1.2,0$\pm$0,8.22$\pm$8.4,0.00106$\pm$0.0011,44.9$\pm$29,9.11$\pm$7.1,0.00118$\pm$0.0012,2,2,4,2,0,2,1,4,2,2
Waste collection and recycling to Landfill,154000$\pm$53000,219000$\pm$67000,306000$\pm$89000,77600$\pm$26000,16100$\pm$5600,62100$\pm$22000,213000$\pm$71000,1050000$\pm$140000,373000$\pm$85000,93.7$\pm$27,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to Reuse,21500$\pm$8000,34600$\pm$12000,83000$\pm$25000,8370$\pm$3800,5880$\pm$3400,28700$\pm$11000,41700$\pm$11000,224000$\pm$33000,56100$\pm$15000,14.2$\pm$5.1,10,10,10,8,8,10,10,10,10,10
Waste collection and recycling to End-of-life,141000$\pm$46000,189000$\pm$58000,268000$\pm$77000,62600$\pm$22000,135000$\pm$52000,285000$\pm$99000,171000$\pm$61000,1250000$\pm$170000,331000$\pm$74000,198$\pm$56,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,50.4$\pm$53,521$\pm$410,553$\pm$440,13.7$\pm$14,4.33$\pm$4.8,3.49$\pm$3.8,548$\pm$440,1690$\pm$800,572$\pm$420,0.0181$\pm$0.014,4,6,6,4,2,2,6,8,6,4
Storm water and wastewater to Compost,3$\pm$4,35.8$\pm$37,38.2$\pm$39,0.854$\pm$1.1,0.269$\pm$0.38,0.214$\pm$0.3,37.5$\pm$39,116$\pm$70,38.8$\pm$37,0.00112$\pm$0.0012,2,4,4,1,1,1,4,6,4,2
Storm water and wastewater to Fresh water,9.5$\pm$9,16.1$\pm$11,17$\pm$11,2.63$\pm$2.4,0.83$\pm$0.84,0.66$\pm$0.66,23.2$\pm$18,69.9$\pm$26,25.6$\pm$14,0.00346$\pm$0.0025,2,4,4,2,1,1,4,4,4,2
Storm water and wastewater to Landfill,0.717$\pm$0.97,8.54$\pm$8.9,9$\pm$9.2,0.201$\pm$0.26,0.0636$\pm$0.091,0.0506$\pm$0.073,8.86$\pm$9.4,27.4$\pm$16,9.25$\pm$8.9,0.000265$\pm$0.00028,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater to End-of-life,10$\pm$13,118$\pm$120,127$\pm$130,2.82$\pm$3.6,0.893$\pm$1.2,0.704$\pm$0.97,125$\pm$130,384$\pm$230,128$\pm$120,0.00371$\pm$0.0038,4,6,6,2,1,1,6,6,6,2
Storm water and wastewater to Sludge amended soil,13.8$\pm$18,165$\pm$170,175$\pm$170,3.93$\pm$5,1.24$\pm$1.7,0.981$\pm$1.4,173$\pm$180,533$\pm$310,179$\pm$170,0.00518$\pm$0.0053,4,6,6,2,2,1,6,6,6,2
Storm water and wastewater (MP) to Compost (MP),4.07$\pm$3.4,12$\pm$8.8,51.2$\pm$36,1.91$\pm$1.6,0.132$\pm$0.082,17.5$\pm$11,50.4$\pm$22,137$\pm$45,16.1$\pm$9.4,0.00204$\pm$0.0016,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Soil (MP),6.08$\pm$5.3,17.6$\pm$14,68.5$\pm$60,2.79$\pm$2.5,0.608$\pm$0.43,21.8$\pm$19,65.2$\pm$44,183$\pm$78,23.6$\pm$15,0.0034$\pm$0.0026,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Fresh water (MP),1.84$\pm$1.7,5.35$\pm$4.7,19.3$\pm$19,0.829$\pm$0.77,0.253$\pm$0.19,8.36$\pm$6,18.2$\pm$14,54.1$\pm$25,7.18$\pm$4.9,0.00108$\pm$0.0008,2,2,4,1,1,2,4,4,2,2
Storm water and wastewater (MP) to Landfill,0.963$\pm$0.81,2.86$\pm$2.1,12.1$\pm$8.4,0.453$\pm$0.38,0.0312$\pm$0.02,4.14$\pm$2.7,11.9$\pm$5.3,32.5$\pm$11,3.82$\pm$2.3,0.000485$\pm$0.00038,1,2,4,1,1,2,4,4,2,1
Storm water and wastewater (MP) to End-of-life,13.5$\pm$11,39.9$\pm$29,169$\pm$110,6.34$\pm$5,0.436$\pm$0.26,58.2$\pm$37,167$\pm$66,455$\pm$140,53.4$\pm$30,0.00678$\pm$0.005,4,4,6,2,1,4,6,6,4,2
