Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Clothing to Waste collection and recycling,0$\pm$0,1010$\pm$660,23100$\pm$10000,0$\pm$0,0$\pm$0,0$\pm$0,121000$\pm$42000,145000$\pm$43000,1010$\pm$660,0$\pm$0,0,8,10,0,0,0,10,10,8,0
Clothing to Storm water and wastewater (MP),0$\pm$0,7.85$\pm$5.2,180$\pm$83,0$\pm$0,0$\pm$0,0$\pm$0,940$\pm$340,1130$\pm$350,7.85$\pm$5.2,0$\pm$0,0,2,6,0,0,0,6,8,2,0
Clothing to Dumping,0$\pm$0,0.747$\pm$0.63,17.2$\pm$10,0$\pm$0,0$\pm$0,0$\pm$0,90.2$\pm$46,108$\pm$47,0.747$\pm$0.63,0$\pm$0,0,1,4,0,0,0,4,6,1,0
Clothing to Indoor air (MP),0$\pm$0,2.91$\pm$3.3,66.3$\pm$63,0$\pm$0,0$\pm$0,0$\pm$0,348$\pm$310,418$\pm$360,2.91$\pm$3.3,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Clothing to Air (MP),0$\pm$0,1.21$\pm$1.2,27.8$\pm$22,0$\pm$0,0$\pm$0,0$\pm$0,145$\pm$100,174$\pm$120,1.21$\pm$1.2,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Household textiles to Waste collection and recycling,0$\pm$0,142$\pm$65,18000$\pm$5800,0$\pm$0,0$\pm$0,0$\pm$0,54900$\pm$17000,73000$\pm$18000,142$\pm$65,0$\pm$0,0,6,10,0,0,0,10,10,6,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.0881$\pm$0.042,11.2$\pm$3.8,0$\pm$0,0$\pm$0,0$\pm$0,34.2$\pm$11,45.4$\pm$12,0.0881$\pm$0.042,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Dumping,0$\pm$0,0.106$\pm$0.069,13.2$\pm$6.6,0$\pm$0,0$\pm$0,0$\pm$0,41$\pm$19,54.4$\pm$20,0.106$\pm$0.069,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.251$\pm$0.24,31.8$\pm$28,0$\pm$0,0$\pm$0,0$\pm$0,97.1$\pm$85,129$\pm$110,0.251$\pm$0.24,0$\pm$0,0,1,4,0,0,0,4,6,1,0
Household textiles to Air (MP),0$\pm$0,0.0125$\pm$0.01,1.59$\pm$1.2,0$\pm$0,0$\pm$0,0$\pm$0,4.85$\pm$3.5,6.45$\pm$4.5,0.0125$\pm$0.01,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Other products to Waste collection and recycling,117000$\pm$48000,115000$\pm$48000,322000$\pm$110000,132000$\pm$48000,9490$\pm$3900,154000$\pm$61000,36700$\pm$20000,887000$\pm$150000,233000$\pm$68000,141$\pm$48,10,10,10,10,8,10,10,10,10,10
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,91.1$\pm$53,0$\pm$0,91.1$\pm$53,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,88.4$\pm$50,86.4$\pm$47,250$\pm$120,115$\pm$50,7.12$\pm$3.9,121$\pm$58,23.8$\pm$17,691$\pm$160,175$\pm$69,0.122$\pm$0.051,4,4,6,6,2,6,4,6,6,6
Other products to Organic waste collection,84.7$\pm$42,199$\pm$100,231$\pm$110,162$\pm$80,34.5$\pm$17,146$\pm$74,7.1$\pm$3.6,863$\pm$190,283$\pm$110,0.196$\pm$0.082,4,6,6,6,4,6,2,6,6,6
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,60.9$\pm$35,0$\pm$0,60.9$\pm$35,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,4.52$\pm$2.8,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4.52$\pm$2.8,4.52$\pm$2.8,0$\pm$0,2,0,0,0,0,0,0,2,2,0
Other products to Indoor air (MP),11.2$\pm$6.9,26.3$\pm$17,30.5$\pm$19,21.4$\pm$13,4.6$\pm$2.8,49.3$\pm$27,0.948$\pm$0.58,144$\pm$40,37.5$\pm$18,0.026$\pm$0.014,4,4,4,4,2,4,1,6,4,4
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,60.6$\pm$40,0$\pm$0,60.6$\pm$40,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Export,1070$\pm$460,1010$\pm$440,37500$\pm$16000,21600$\pm$9400,0$\pm$0,8620$\pm$3700,3.91$\pm$1.7,69800$\pm$19000,2070$\pm$640,21.6$\pm$9.4,8,8,10,10,0,8,2,10,8,10
Other products to Fresh water,0.731$\pm$0.48,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.731$\pm$0.48,0.731$\pm$0.48,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,1670$\pm$240,1670$\pm$240,751$\pm$100,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4100$\pm$350,3350$\pm$340,0$\pm$0,8,8,6,0,0,0,0,8,8,0
Fishing gear to Fresh water (MP),0.0129$\pm$0.0048,0.0129$\pm$0.0048,0.00568$\pm$0.0021,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0315$\pm$0.007,0.0258$\pm$0.0068,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,59.2$\pm$32,58.9$\pm$32,10.3$\pm$2.5,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,128$\pm$46,118$\pm$46,0$\pm$0,4,4,4,0,0,0,0,6,6,0
Fishing gear to Coastal and ocean water (MP),9.23$\pm$2.6,9.23$\pm$2.6,4.05$\pm$1.1,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,22.5$\pm$3.8,18.5$\pm$3.7,0$\pm$0,2,2,2,0,0,0,0,4,4,0
Waste collection and recycling to Storm water and wastewater (MP),157$\pm$70,408$\pm$180,1610$\pm$740,69.8$\pm$32,0.214$\pm$0.099,504$\pm$230,9.96$\pm$4.3,2760$\pm$790,564$\pm$190,0.07$\pm$0.032,6,6,8,4,1,6,2,8,6,4
Waste collection and recycling to Litter,2160$\pm$1200,5870$\pm$4400,3160$\pm$2000,0$\pm$0,6460$\pm$4900,12000$\pm$9200,740$\pm$570,30400$\pm$12000,8030$\pm$4600,6.46$\pm$4.9,8,8,8,0,8,10,6,10,8,8
Waste collection and recycling to Soil (MP),14.5$\pm$7.5,29.3$\pm$17,110$\pm$68,5.88$\pm$3.2,0.95$\pm$0.8,36.8$\pm$22,5.14$\pm$2.5,203$\pm$74,43.7$\pm$18,0.00683$\pm$0.0033,4,4,6,2,1,4,2,6,4,2
Waste collection and recycling to Soil,49$\pm$24,55.2$\pm$29,88$\pm$44,24.7$\pm$13,5.17$\pm$2.6,19.9$\pm$11,71.5$\pm$35,313$\pm$69,104$\pm$38,0.0298$\pm$0.013,4,4,4,4,2,4,4,6,6,4
Waste collection and recycling to Air (MP),9.73$\pm$6.4,25.1$\pm$17,102$\pm$68,4.42$\pm$2.9,0$\pm$0,31.7$\pm$21,0.00394$\pm$0.0026,173$\pm$73,34.9$\pm$18,0.00442$\pm$0.0029,2,4,6,2,0,4,1,6,4,2
Waste collection and recycling to Landfill,217000$\pm$75000,293000$\pm$92000,417000$\pm$120000,108000$\pm$36000,21600$\pm$7500,86100$\pm$31000,296000$\pm$99000,1440000$\pm$200000,510000$\pm$120000,130$\pm$37,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to Reuse,68700$\pm$30000,59600$\pm$23000,132000$\pm$34000,20100$\pm$9600,11400$\pm$6700,67500$\pm$38000,88700$\pm$26000,448000$\pm$70000,128000$\pm$38000,31.5$\pm$12,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to End-of-life,357000$\pm$100000,482000$\pm$130000,696000$\pm$170000,159000$\pm$47000,268000$\pm$100000,593000$\pm$190000,430000$\pm$130000,2990000$\pm$340000,839000$\pm$160000,427$\pm$110,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,19.9$\pm$21,864$\pm$730,924$\pm$770,5.36$\pm$5.6,1.68$\pm$1.9,1.41$\pm$1.7,887$\pm$780,2700$\pm$1400,884$\pm$730,0.00704$\pm$0.0059,4,6,6,2,2,2,6,8,6,2
Storm water and wastewater to Compost,4.62$\pm$6.3,200$\pm$220,209$\pm$230,1.25$\pm$1.6,0.392$\pm$0.57,0.315$\pm$0.46,200$\pm$240,615$\pm$420,204$\pm$220,0.00164$\pm$0.0017,2,6,6,2,1,1,6,6,6,2
Storm water and wastewater to Fresh water,13.3$\pm$14,18$\pm$15,18.9$\pm$16,3.6$\pm$3.7,1.13$\pm$1.3,0.924$\pm$1.1,28.9$\pm$29,84.7$\pm$40,31.2$\pm$21,0.00473$\pm$0.0039,4,4,4,2,2,1,4,4,4,2
Storm water and wastewater to Coastal and ocean water,52.7$\pm$48,61.8$\pm$48,66.4$\pm$50,14.3$\pm$12,4.44$\pm$4.4,3.66$\pm$3.6,106$\pm$97,309$\pm$130,115$\pm$68,0.0187$\pm$0.013,4,4,4,4,2,2,6,6,6,4
Storm water and wastewater to Landfill,0.193$\pm$0.27,8.27$\pm$9.5,8.71$\pm$9.7,0.0518$\pm$0.068,0.0162$\pm$0.024,0.0132$\pm$0.02,8.33$\pm$10,25.6$\pm$18,8.46$\pm$9.5,0.000068$\pm$0.000072,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater to End-of-life,2.19$\pm$3,94.3$\pm$110,99.2$\pm$110,0.591$\pm$0.78,0.184$\pm$0.27,0.151$\pm$0.23,94.1$\pm$110,291$\pm$200,96.5$\pm$110,0.000775$\pm$0.00083,2,4,4,1,1,1,4,6,4,1
Storm water and wastewater to Sludge amended soil,4.38$\pm$6.1,188$\pm$210,196$\pm$210,1.18$\pm$1.5,0.368$\pm$0.53,0.301$\pm$0.45,187$\pm$220,578$\pm$390,193$\pm$210,0.00155$\pm$0.0016,2,6,6,2,1,1,6,6,6,2
Storm water and wastewater (MP) to Compost (MP),58.8$\pm$27,155$\pm$70,648$\pm$290,26.3$\pm$12,0.768$\pm$0.43,211$\pm$91,369$\pm$140,1470$\pm$340,214$\pm$74,0.0271$\pm$0.012,4,6,6,4,1,6,6,8,6,4
Storm water and wastewater (MP) to Soil (MP),23.8$\pm$14,51.1$\pm$36,209$\pm$150,9.86$\pm$6.5,0.928$\pm$0.65,69.3$\pm$48,116$\pm$83,480$\pm$180,74.9$\pm$39,0.0108$\pm$0.0065,4,4,6,2,1,4,6,6,4,4
Storm water and wastewater (MP) to Fresh water (MP),2.62$\pm$2.4,5.92$\pm$5.8,24.2$\pm$26,1$\pm$1,0.0899$\pm$0.074,12.2$\pm$8.8,13.6$\pm$15,59.7$\pm$32,8.54$\pm$6.3,0.00119$\pm$0.001,2,2,4,2,1,4,4,4,2,2
Storm water and wastewater (MP) to Coastal and ocean water (MP),5.43$\pm$3.6,10.5$\pm$7.8,41.2$\pm$35,2.15$\pm$1.5,0.291$\pm$0.21,30.7$\pm$16,22.6$\pm$19,113$\pm$44,15.9$\pm$8.6,0.00244$\pm$0.0015,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Landfill,2.45$\pm$1.2,6.44$\pm$3.1,27$\pm$13,1.1$\pm$0.55,0.0316$\pm$0.019,8.76$\pm$4.1,15.3$\pm$6.6,61.1$\pm$15,8.89$\pm$3.4,0.00113$\pm$0.00055,2,2,4,2,1,2,4,4,2,2
Storm water and wastewater (MP) to End-of-life,27.9$\pm$13,73.2$\pm$34,306$\pm$140,12.5$\pm$6,0.362$\pm$0.21,99.6$\pm$46,174$\pm$71,694$\pm$170,101$\pm$37,0.0128$\pm$0.006,4,4,6,4,1,4,6,6,6,4
Storm water and wastewater (MP) to Sludge amended soil (MP),55.8$\pm$26,147$\pm$66,611$\pm$270,24.8$\pm$11,0.719$\pm$0.4,198$\pm$86,348$\pm$140,1390$\pm$320,202$\pm$71,0.0255$\pm$0.011,4,6,6,4,1,6,6,8,6,4
On-the-go consumption to Waste collection and recycling,9110$\pm$5500,16800$\pm$9000,33000$\pm$19000,5030$\pm$2900,0$\pm$0,3990$\pm$2200,90100$\pm$53000,158000$\pm$58000,25900$\pm$11000,5.03$\pm$2.9,8,10,10,8,0,8,10,10,10,8
On-the-go consumption to Litter,1560$\pm$1100,2860$\pm$1900,5660$\pm$3800,857$\pm$580,0$\pm$0,678$\pm$440,15400$\pm$11000,27000$\pm$12000,4420$\pm$2200,0.857$\pm$0.58,8,8,8,6,0,6,10,10,8,6
Litter to Waste collection and recycling,7520$\pm$4300,10500$\pm$5100,10200$\pm$4700,1860$\pm$1100,4490$\pm$3400,8050$\pm$6300,15600$\pm$9900,58200$\pm$15000,18000$\pm$6700,6.34$\pm$3.6,8,10,10,8,8,8,10,10,10,8
Litter to Storm water and wastewater,97.2$\pm$87,102$\pm$86,109$\pm$89,26.3$\pm$22,8.22$\pm$7.9,6.77$\pm$6.7,182$\pm$180,531$\pm$230,199$\pm$120,0.0345$\pm$0.024,4,6,6,4,2,2,6,6,6,4
Litter to Soil,1350$\pm$850,3030$\pm$2300,2670$\pm$1700,269$\pm$180,2470$\pm$2300,4780$\pm$4400,3680$\pm$3100,18300$\pm$6500,4380$\pm$2400,2.74$\pm$2.3,8,8,8,6,8,8,8,10,8,8
Litter to Fresh water,6.39$\pm$5.6,6.78$\pm$5.5,7.53$\pm$5.7,1.79$\pm$1.4,0.528$\pm$0.5,0.529$\pm$0.44,12.8$\pm$11,36.3$\pm$15,13.2$\pm$7.9,0.00232$\pm$0.0015,2,2,2,2,1,1,4,4,4,2
Litter to Coastal and ocean water,4.07$\pm$3.5,4.42$\pm$3.4,5.17$\pm$3.8,1.19$\pm$0.91,0.319$\pm$0.3,0.392$\pm$0.3,9.37$\pm$7.8,24.9$\pm$10,8.49$\pm$4.9,0.00151$\pm$0.00096,2,2,2,2,1,1,2,4,2,2
Dumping to Litter,370$\pm$140,413$\pm$170,692$\pm$230,212$\pm$72,31.2$\pm$14,151$\pm$60,535$\pm$200,2400$\pm$380,782$\pm$220,0.244$\pm$0.074,6,6,6,6,4,6,6,8,6,6
Unintended C&D waste to Waste collection and recycling,1200$\pm$920,40.4$\pm$31,0$\pm$0,0$\pm$0,6430$\pm$5000,3450$\pm$2400,0$\pm$0,11100$\pm$5600,1240$\pm$920,6.43$\pm$5,8,4,0,0,8,8,0,10,8,8
Unintended C&D waste to Soil,24$\pm$23,0.812$\pm$0.77,0$\pm$0,0$\pm$0,121$\pm$110,69.4$\pm$62,0$\pm$0,216$\pm$120,24.8$\pm$23,0.121$\pm$0.11,4,1,0,0,6,4,0,6,4,6
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.88$\pm$1.8,0$\pm$0,0$\pm$0,1.88$\pm$1.8,0$\pm$0,0.00188$\pm$0.0018,0,0,0,0,2,0,0,2,0,2
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4.78$\pm$4.6,0$\pm$0,0$\pm$0,4.78$\pm$4.6,0$\pm$0,0.00478$\pm$0.0046,0,0,0,0,2,0,0,2,0,2
Indoor air to Waste collection and recycling,5.71$\pm$4.5,14.9$\pm$11,65.7$\pm$48,10.9$\pm$8.6,2.33$\pm$1.8,81.8$\pm$53,228$\pm$200,409$\pm$240,20.6$\pm$12,0.0132$\pm$0.0088,2,4,4,4,2,4,6,6,4,4
Indoor air to Storm water and wastewater (MP),1.02$\pm$0.89,2.65$\pm$2.2,11.6$\pm$9.3,1.93$\pm$1.7,0.414$\pm$0.36,14.6$\pm$11,40.8$\pm$39,73$\pm$45,3.67$\pm$2.4,0.00235$\pm$0.0017,2,2,4,2,1,4,4,4,2,2
Indoor air to Air (MP),4.43$\pm$4.2,11.9$\pm$11,51.4$\pm$47,8.63$\pm$8.2,1.85$\pm$1.8,63.1$\pm$51,178$\pm$190,319$\pm$210,16.3$\pm$12,0.0105$\pm$0.0084,2,4,4,2,2,4,6,6,4,4
Air to Soil (MP),13.3$\pm$7.2,35.9$\pm$19,171$\pm$85,12.3$\pm$8.2,25$\pm$11,146$\pm$68,308$\pm$240,712$\pm$280,49.2$\pm$20,0.0373$\pm$0.014,4,4,6,4,4,6,6,6,4,4
Air to Fresh water (MP),0.234$\pm$0.2,0.629$\pm$0.52,3.03$\pm$2.5,0.219$\pm$0.21,0.442$\pm$0.35,2.57$\pm$2,5.36$\pm$5.6,12.5$\pm$6.7,0.863$\pm$0.56,0.000661$\pm$0.00041,1,1,2,1,1,2,2,4,1,1
Air to Coastal and ocean water (MP),0.623$\pm$0.58,1.67$\pm$1.5,8.16$\pm$7.1,0.58$\pm$0.62,1.17$\pm$0.96,6.94$\pm$5.9,14.1$\pm$15,33.3$\pm$19,2.29$\pm$1.6,0.00175$\pm$0.0011,1,2,2,1,2,2,4,4,2,2
Organic waste collection to Compost,41.7$\pm$28,24.4$\pm$17,55.2$\pm$39,6.57$\pm$4.7,0.889$\pm$0.62,5.6$\pm$3.9,22.7$\pm$17,157$\pm$55,66.1$\pm$33,0.00746$\pm$0.0047,4,4,4,2,1,2,4,6,4,2
Organic waste collection to Compost (MP),35.4$\pm$25,20.8$\pm$16,46.2$\pm$35,5.56$\pm$4.1,0.736$\pm$0.54,4.7$\pm$3.4,18.9$\pm$15,132$\pm$49,56.1$\pm$30,0.00629$\pm$0.0042,4,4,4,2,1,2,4,6,4,2
Organic waste collection to End-of-life,6480$\pm$2300,3820$\pm$1600,8540$\pm$3600,1020$\pm$410,137$\pm$54,867$\pm$340,3500$\pm$1500,24400$\pm$4800,10300$\pm$2800,1.16$\pm$0.41,8,8,8,8,6,6,8,10,10,8
Compost to Soil,46.3$\pm$29,224$\pm$220,264$\pm$230,7.81$\pm$5.1,1.28$\pm$0.89,5.92$\pm$4,223$\pm$240,772$\pm$420,270$\pm$230,0.00909$\pm$0.0052,4,6,6,2,2,2,6,6,6,2
Compost (MP) to Soil (MP),94.2$\pm$37,176$\pm$71,694$\pm$290,31.9$\pm$13,1.5$\pm$0.7,216$\pm$91,387$\pm$140,1600$\pm$340,270$\pm$80,0.0334$\pm$0.013,4,6,6,4,2,6,6,8,6,4
Total to Soil (MP),1560$\pm$650,364$\pm$120,1590$\pm$500,108$\pm$30,52.7$\pm$16,697$\pm$190,891$\pm$360,5260$\pm$920,1920$\pm$650,0.161$\pm$0.034,8,6,8,6,4,6,6,8,8,6
Total to Fresh water (MP),4.32$\pm$2.5,6.73$\pm$5.9,28.8$\pm$26,1.79$\pm$1.1,0.728$\pm$0.36,16.3$\pm$9.2,19$\pm$17,77.7$\pm$33,11.1$\pm$6.4,0.00252$\pm$0.0011,2,2,4,2,1,4,4,4,4,2
Total to Soil,1630$\pm$870,3440$\pm$2300,3760$\pm$1800,305$\pm$180,2600$\pm$2300,4910$\pm$4400,4740$\pm$3200,21400$\pm$6600,5070$\pm$2500,2.9$\pm$2.4,8,8,8,6,8,8,8,10,8,8
Total to Fresh water,20.4$\pm$18,24.8$\pm$18,26.4$\pm$19,5.38$\pm$4.6,3.53$\pm$2.4,1.45$\pm$1.4,41.7$\pm$37,124$\pm$49,45.1$\pm$26,0.00892$\pm$0.0052,4,4,4,2,2,2,4,6,4,2
Total to Coastal and ocean water,116$\pm$60,125$\pm$60,81.9$\pm$52,15.5$\pm$13,9.54$\pm$6.4,4.05$\pm$3.8,115$\pm$100,467$\pm$140,241$\pm$85,0.025$\pm$0.015,6,6,4,4,2,2,6,6,6,4
Total to Coastal and ocean water (MP),15.3$\pm$4.5,21.4$\pm$8.5,53.5$\pm$37,2.73$\pm$1.6,1.46$\pm$0.98,37.7$\pm$18,36.7$\pm$25,169$\pm$49,36.7$\pm$9.6,0.0042$\pm$0.0019,4,4,4,2,2,4,4,6,4,2
Total to Landfill,217000$\pm$75000,293000$\pm$92000,417000$\pm$120000,108000$\pm$36000,21600$\pm$7500,86100$\pm$31000,296000$\pm$99000,1440000$\pm$200000,510000$\pm$120000,130$\pm$37,10,10,10,10,10,10,10,10,10,10
Total to Sludge amended soil,4.38$\pm$6.1,188$\pm$210,196$\pm$210,1.18$\pm$1.5,0.368$\pm$0.53,0.301$\pm$0.45,187$\pm$220,578$\pm$390,193$\pm$210,0.00155$\pm$0.0016,2,6,6,2,1,1,6,6,6,2
