Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Waste collection and recycling to Soil (MP),1.78$\pm$0.97,4.27$\pm$2.4,15.7$\pm$9.8,0.762$\pm$0.43,0.106$\pm$0.1,4.92$\pm$3,0.685$\pm$0.3,28.2$\pm$11,6.05$\pm$2.6,0.000868$\pm$0.00044,2,2,4,1,1,2,1,4,2,1
Waste collection and recycling to Soil,5.65$\pm$2.7,6.42$\pm$3.2,10.3$\pm$4.9,2.87$\pm$1.5,0.538$\pm$0.27,2.24$\pm$1.2,8.3$\pm$3.8,36.3$\pm$7.7,12.1$\pm$4.2,0.00341$\pm$0.0015,2,2,4,2,1,2,2,4,4,2
Waste collection and recycling to Air (MP),1.43$\pm$0.96,3.63$\pm$2.4,14.9$\pm$9.9,0.643$\pm$0.42,0$\pm$0,4.63$\pm$3,0.000582$\pm$0.00038,25.2$\pm$11,5.05$\pm$2.6,0.000643$\pm$0.00042,2,2,4,1,0,2,1,4,2,1
Waste collection and recycling to Landfill,2360$\pm$720,2870$\pm$840,4250$\pm$1200,1120$\pm$360,190$\pm$68,847$\pm$300,2800$\pm$920,14500$\pm$1900,5240$\pm$1100,1.31$\pm$0.37,8,8,8,8,6,6,8,10,8,8
Waste collection and recycling to Reuse,10100$\pm$2600,12900$\pm$3300,16500$\pm$4500,1950$\pm$960,1350$\pm$910,4900$\pm$2300,15300$\pm$4600,63000$\pm$8100,23000$\pm$4200,3.3$\pm$1.3,10,10,10,8,8,8,10,10,10,8
Waste collection and recycling to End-of-life,69000$\pm$17000,93100$\pm$22000,131000$\pm$28000,31000$\pm$8000,33200$\pm$12000,77700$\pm$23000,76900$\pm$22000,512000$\pm$52000,162000$\pm$27000,64.2$\pm$14,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,0.313$\pm$0.33,69.8$\pm$59,74.1$\pm$62,0.105$\pm$0.11,0.0215$\pm$0.024,0.0451$\pm$0.053,69.6$\pm$62,214$\pm$110,70.1$\pm$59,0.000127$\pm$0.00011,1,4,4,1,1,1,4,6,4,1
Storm water and wastewater to Compost,0.0545$\pm$0.074,12.4$\pm$14,13.2$\pm$15,0.0184$\pm$0.024,0.00379$\pm$0.0054,0.00777$\pm$0.012,12.3$\pm$14,38$\pm$26,12.5$\pm$14,0.0000222$\pm$0.000025,1,4,4,1,1,1,4,4,4,1
Storm water and wastewater to Fresh water,0.228$\pm$0.24,0.393$\pm$0.32,0.489$\pm$0.42,0.076$\pm$0.077,0.0161$\pm$0.019,0.033$\pm$0.039,0.891$\pm$0.96,2.13$\pm$1.1,0.621$\pm$0.4,0.0000921$\pm$0.000079,1,1,1,1,1,1,1,2,1,1
Storm water and wastewater to Coastal and ocean water,1.85$\pm$1.6,3.05$\pm$2.1,3.82$\pm$2.8,0.617$\pm$0.52,0.128$\pm$0.12,0.265$\pm$0.26,7.13$\pm$6.6,16.9$\pm$7.7,4.9$\pm$2.6,0.000746$\pm$0.00054,2,2,2,1,1,1,2,4,2,1
Storm water and wastewater to Landfill,0.018$\pm$0.025,4.1$\pm$4.7,4.36$\pm$5,0.00612$\pm$0.0083,0.00126$\pm$0.0019,0.00258$\pm$0.004,4.04$\pm$4.8,12.5$\pm$8.6,4.12$\pm$4.7,0.00000738$\pm$0.0000085,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater to End-of-life,0.000015$\pm$0.00002,0.00342$\pm$0.0039,0.00366$\pm$0.0042,0.00000508$\pm$0.0000067,0.00000105$\pm$0.0000015,0.00000216$\pm$0.0000034,0.00339$\pm$0.004,0.0105$\pm$0.0072,0.00344$\pm$0.0039,0.00000000613$\pm$0.0000000069,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater to Sludge amended soil,0.101$\pm$0.13,23.1$\pm$25,24.4$\pm$27,0.0341$\pm$0.044,0.00705$\pm$0.01,0.0144$\pm$0.021,22.8$\pm$26,70.4$\pm$47,23.2$\pm$25,0.0000412$\pm$0.000045,1,4,4,1,1,1,4,4,4,1
Storm water and wastewater (MP) to Compost (MP),5.87$\pm$2.9,15.9$\pm$7.8,64.9$\pm$32,2.6$\pm$1.3,0.0232$\pm$0.013,20.4$\pm$9.9,30.1$\pm$13,140$\pm$37,21.8$\pm$8.3,0.00262$\pm$0.0013,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Soil (MP),2.72$\pm$2,7.43$\pm$5.3,28.2$\pm$21,1.16$\pm$0.88,0.0275$\pm$0.015,8.81$\pm$6.8,13.8$\pm$9.6,62.1$\pm$25,10.1$\pm$5.7,0.00119$\pm$0.00088,2,2,4,2,1,2,4,4,4,2
Storm water and wastewater (MP) to Fresh water (MP),0.207$\pm$0.25,0.566$\pm$0.67,2.24$\pm$2.8,0.0912$\pm$0.11,0.00166$\pm$0.0013,1.01$\pm$0.91,1.04$\pm$1.2,5.16$\pm$3.2,0.773$\pm$0.72,0.0000929$\pm$0.00011,1,1,2,1,1,2,2,2,1,1
Storm water and wastewater (MP) to Coastal and ocean water (MP),2.21$\pm$2.9,6$\pm$7.8,24.1$\pm$33,0.971$\pm$1.3,0.0156$\pm$0.013,10.1$\pm$10,11.2$\pm$14,54.6$\pm$38,8.21$\pm$8.3,0.000987$\pm$0.0013,2,2,4,1,1,4,4,4,2,1
Storm water and wastewater (MP) to Landfill,2$\pm$1,5.25$\pm$2.7,21.3$\pm$11,0.858$\pm$0.46,0.00769$\pm$0.0046,6.69$\pm$3.4,9.98$\pm$4.5,46.1$\pm$13,7.2$\pm$2.9,0.000866$\pm$0.00046,2,2,4,1,1,2,2,4,2,1
Storm water and wastewater (MP) to End-of-life,0.00163$\pm$0.00088,0.00442$\pm$0.0023,0.018$\pm$0.0093,0.000716$\pm$0.00039,0.00000643$\pm$0.0000039,0.00564$\pm$0.0029,0.00831$\pm$0.0038,0.0387$\pm$0.011,0.00605$\pm$0.0025,0.000000723$\pm$0.00000039,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater (MP) to Sludge amended soil (MP),11$\pm$5.3,29.5$\pm$14,120$\pm$55,4.81$\pm$2.3,0.0429$\pm$0.024,37.8$\pm$17,55.9$\pm$22,259$\pm$64,40.4$\pm$15,0.00485$\pm$0.0023,4,4,6,2,1,4,4,6,4,2
On-the-go consumption to Waste collection and recycling,1050$\pm$620,1930$\pm$1000,3790$\pm$2100,583$\pm$330,0$\pm$0,456$\pm$240,10200$\pm$6200,18000$\pm$6600,2980$\pm$1200,0.583$\pm$0.33,8,8,8,6,0,6,10,10,8,6
On-the-go consumption to Litter,185$\pm$130,340$\pm$220,669$\pm$450,102$\pm$70,0$\pm$0,79.8$\pm$52,1810$\pm$1300,3190$\pm$1400,525$\pm$260,0.102$\pm$0.07,6,6,6,6,0,4,8,8,6,6
Litter to Waste collection and recycling,525$\pm$270,805$\pm$360,963$\pm$490,163$\pm$90,294$\pm$210,580$\pm$390,1860$\pm$1300,5190$\pm$1500,1330$\pm$450,0.457$\pm$0.23,6,6,6,6,6,6,8,8,8,6
Litter to Storm water and wastewater,2.56$\pm$2.2,3.15$\pm$2.6,4.15$\pm$3.7,0.857$\pm$0.72,0.178$\pm$0.17,0.368$\pm$0.36,8.82$\pm$9,20.1$\pm$10,5.71$\pm$3.4,0.00104$\pm$0.00074,2,2,2,1,1,1,2,4,2,2
Litter to Soil,45.4$\pm$26,89.8$\pm$58,104$\pm$64,15$\pm$9.5,53.1$\pm$50,107$\pm$94,178$\pm$150,592$\pm$200,135$\pm$64,0.0681$\pm$0.051,4,4,6,4,4,6,6,6,6,4
Litter to Fresh water,0.0516$\pm$0.041,0.0615$\pm$0.048,0.0847$\pm$0.069,0.0174$\pm$0.013,0.00345$\pm$0.0032,0.00806$\pm$0.0069,0.177$\pm$0.17,0.403$\pm$0.2,0.113$\pm$0.063,0.0000208$\pm$0.000014,1,1,1,1,1,1,1,1,1,1
Litter to Coastal and ocean water,0.266$\pm$0.2,0.342$\pm$0.25,0.509$\pm$0.39,0.0984$\pm$0.071,0.0156$\pm$0.014,0.052$\pm$0.04,1$\pm$1,2.42$\pm$1.1,0.608$\pm$0.32,0.000114$\pm$0.000073,1,1,1,1,1,1,2,2,1,1
Dumping to Litter,39.4$\pm$15,44.4$\pm$17,74.2$\pm$25,22.6$\pm$7.8,3.32$\pm$1.5,16.2$\pm$6.4,57.1$\pm$21,257$\pm$40,83.8$\pm$23,0.0259$\pm$0.0079,4,4,4,4,2,4,4,6,4,4
Unintended C&D waste to Waste collection and recycling,59.1$\pm$45,2.02$\pm$1.6,0$\pm$0,0$\pm$0,318$\pm$240,169$\pm$120,0$\pm$0,548$\pm$280,61.2$\pm$45,0.318$\pm$0.24,4,2,0,0,6,6,0,6,4,6
Unintended C&D waste to Soil,0.494$\pm$0.47,0.0171$\pm$0.016,0$\pm$0,0$\pm$0,1.89$\pm$1.8,1.41$\pm$1.3,0$\pm$0,3.81$\pm$2.2,0.511$\pm$0.47,0.00189$\pm$0.0018,1,1,0,0,2,2,0,2,1,2
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.123$\pm$0.12,0$\pm$0,0$\pm$0,0.123$\pm$0.12,0$\pm$0,0.000123$\pm$0.00012,0,0,0,0,1,0,0,1,0,1
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.696$\pm$0.66,0$\pm$0,0$\pm$0,0.696$\pm$0.66,0$\pm$0,0.000696$\pm$0.00066,0,0,0,0,1,0,0,1,0,1
Indoor air to Waste collection and recycling,0.657$\pm$0.52,1.79$\pm$1.3,7.61$\pm$5.8,1.25$\pm$0.98,0.272$\pm$0.21,9.36$\pm$6.1,26.1$\pm$23,47$\pm$27,2.45$\pm$1.4,0.00152$\pm$0.001,1,2,2,2,1,2,4,4,2,2
Indoor air to Storm water and wastewater (MP),0.117$\pm$0.1,0.319$\pm$0.26,1.35$\pm$1.1,0.221$\pm$0.19,0.0485$\pm$0.042,1.67$\pm$1.2,4.61$\pm$4.3,8.33$\pm$5,0.436$\pm$0.27,0.00027$\pm$0.00019,1,1,2,1,1,2,2,2,1,1
Indoor air to Air (MP),0.514$\pm$0.48,1.39$\pm$1.3,5.85$\pm$5.1,0.968$\pm$0.93,0.214$\pm$0.21,7.38$\pm$6.1,20.3$\pm$21,36.6$\pm$24,1.9$\pm$1.4,0.00118$\pm$0.00095,1,2,2,1,1,2,4,4,2,2
Air to Soil (MP),1.27$\pm$0.78,3.4$\pm$2,15.8$\pm$8.7,1.05$\pm$0.72,2$\pm$1,12.5$\pm$6.5,24.3$\pm$20,60.3$\pm$24,4.67$\pm$2.1,0.00306$\pm$0.0012,2,2,4,2,2,4,4,4,2,2
Air to Fresh water (MP),0.106$\pm$0.096,0.278$\pm$0.24,1.3$\pm$1.1,0.0874$\pm$0.083,0.163$\pm$0.13,1.03$\pm$0.82,2.05$\pm$2.3,5.02$\pm$2.8,0.384$\pm$0.26,0.00025$\pm$0.00015,1,1,2,1,1,2,2,2,1,1
Air to Coastal and ocean water (MP),0.567$\pm$0.45,1.49$\pm$1.1,7.02$\pm$5.2,0.475$\pm$0.41,0.885$\pm$0.61,5.53$\pm$3.9,11$\pm$11,27$\pm$14,2.06$\pm$1.2,0.00136$\pm$0.00074,1,2,2,1,1,2,4,4,2,2
Organic waste collection to Compost,0.695$\pm$0.47,0.409$\pm$0.29,0.908$\pm$0.65,0.109$\pm$0.076,0.0148$\pm$0.01,0.0923$\pm$0.064,0.373$\pm$0.27,2.6$\pm$0.9,1.1$\pm$0.55,0.000124$\pm$0.000077,1,1,1,1,1,1,1,2,2,1
Organic waste collection to Compost (MP),0.58$\pm$0.41,0.346$\pm$0.26,0.768$\pm$0.58,0.0926$\pm$0.068,0.0124$\pm$0.009,0.078$\pm$0.057,0.315$\pm$0.24,2.19$\pm$0.8,0.925$\pm$0.49,0.000105$\pm$0.000069,1,1,1,1,1,1,1,2,1,1
Organic waste collection to End-of-life,107$\pm$38,63.7$\pm$26,142$\pm$60,17$\pm$6.8,2.28$\pm$0.9,14.4$\pm$5.6,58.1$\pm$26,404$\pm$79,171$\pm$46,0.0193$\pm$0.0069,6,4,6,4,2,4,4,6,6,4
Compost to Soil,0.749$\pm$0.48,12.8$\pm$14,14.1$\pm$15,0.127$\pm$0.084,0.0186$\pm$0.012,0.1$\pm$0.067,12.6$\pm$14,40.6$\pm$26,13.6$\pm$14,0.000146$\pm$0.000085,1,4,4,1,1,1,4,4,4,1
Compost (MP) to Soil (MP),6.45$\pm$3,16.2$\pm$7.8,65.6$\pm$32,2.69$\pm$1.3,0.0356$\pm$0.017,20.5$\pm$9.9,30.4$\pm$13,142$\pm$37,22.7$\pm$8.3,0.00272$\pm$0.0013,2,4,4,2,1,4,4,6,4,2
Total to Soil (MP),160$\pm$74,39.1$\pm$14,158$\pm$57,7.09$\pm$2.7,3.59$\pm$1.7,58.1$\pm$19,77.7$\pm$32,504$\pm$100,199$\pm$75,0.0107$\pm$0.0032,6,4,6,2,2,4,4,6,6,4
Total to Fresh water (MP),0.322$\pm$0.28,0.854$\pm$0.74,3.56$\pm$3.1,0.181$\pm$0.14,0.166$\pm$0.13,2.05$\pm$1.3,3.1$\pm$2.7,10.2$\pm$4.4,1.18$\pm$0.79,0.000347$\pm$0.00019,1,1,2,1,1,2,2,4,2,1
Total to Soil,71.2$\pm$29,121$\pm$61,175$\pm$73,18.3$\pm$10,55.6$\pm$51,114$\pm$94,237$\pm$150,792$\pm$210,192$\pm$68,0.0739$\pm$0.052,4,6,6,4,4,6,6,6,6,4
Total to Fresh water,0.364$\pm$0.27,0.455$\pm$0.34,0.574$\pm$0.46,0.0933$\pm$0.084,0.143$\pm$0.12,0.0411$\pm$0.043,1.07$\pm$1.1,2.74$\pm$1.3,0.819$\pm$0.43,0.000236$\pm$0.00015,1,1,1,1,1,1,2,2,1,1
Total to Coastal and ocean water,322$\pm$170,323$\pm$170,59.5$\pm$14,0.716$\pm$0.57,0.839$\pm$0.67,0.317$\pm$0.29,8.26$\pm$7.2,714$\pm$250,645$\pm$250,0.00156$\pm$0.00088,6,6,4,1,1,1,2,6,6,2
Total to Coastal and ocean water (MP),52.7$\pm$14,57$\pm$16,53.1$\pm$34,1.45$\pm$1.4,0.9$\pm$0.61,15.7$\pm$11,22.2$\pm$19,203$\pm$45,110$\pm$21,0.00235$\pm$0.0015,4,4,4,2,1,4,4,6,6,2
Total to Landfill,2370$\pm$720,2880$\pm$840,4280$\pm$1200,1130$\pm$360,190$\pm$68,854$\pm$300,2810$\pm$930,14500$\pm$1900,5250$\pm$1100,1.32$\pm$0.37,8,8,8,8,6,6,8,10,8,8
Total to Sludge amended soil,0.101$\pm$0.13,23.1$\pm$25,24.4$\pm$27,0.0341$\pm$0.044,0.00705$\pm$0.01,0.0144$\pm$0.021,22.8$\pm$26,70.4$\pm$47,23.2$\pm$25,0.0000412$\pm$0.000045,1,4,4,1,1,1,4,4,4,1
Total to Sludge amended soil (MP),11$\pm$5.3,29.5$\pm$14,120$\pm$55,4.81$\pm$2.3,0.0429$\pm$0.024,37.8$\pm$17,55.9$\pm$22,259$\pm$64,40.4$\pm$15,0.00485$\pm$0.0023,4,4,6,2,1,4,4,6,4,2
External to Import,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Construction,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
External to Automotive,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Agriculture,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Hygiene products,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to PCCP,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Household textiles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Other products,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Fishing gear,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
External to Waste collection and recycling,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to On-the-go consumption,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Litter,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Dumping,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Unintended C&D waste,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1
External to Indoor air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Organic waste collection,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Total,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
