Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater to Waste collection and recycling,0.216$\pm$0.23,127$\pm$100,138$\pm$120,0.0709$\pm$0.074,0.0147$\pm$0.017,0.0314$\pm$0.037,129$\pm$120,395$\pm$210,127$\pm$100,0.0000856$\pm$0.000076,1,6,6,1,1,1,6,6,6,1
Storm water and wastewater to Compost,0.0461$\pm$0.061,27.7$\pm$31,29.8$\pm$35,0.0153$\pm$0.02,0.00324$\pm$0.0046,0.00678$\pm$0.011,28.1$\pm$34,85.7$\pm$60,27.8$\pm$31,0.0000186$\pm$0.000021,1,4,4,1,1,1,4,4,4,1
Storm water and wastewater to Fresh water,0.244$\pm$0.25,0.496$\pm$0.39,0.612$\pm$0.49,0.0796$\pm$0.081,0.0166$\pm$0.019,0.0349$\pm$0.041,1.05$\pm$1.1,2.54$\pm$1.3,0.739$\pm$0.47,0.0000962$\pm$0.000083,1,1,1,1,1,1,2,2,1,1
Storm water and wastewater to Coastal and ocean water,1.96$\pm$1.7,3.78$\pm$2.4,4.74$\pm$3.2,0.651$\pm$0.55,0.136$\pm$0.13,0.286$\pm$0.29,8.34$\pm$7.3,19.9$\pm$8.6,5.74$\pm$3,0.000787$\pm$0.00057,2,2,2,1,1,1,2,4,2,1
Storm water and wastewater to Landfill,0.002$\pm$0.0027,1.2$\pm$1.4,1.29$\pm$1.5,0.000664$\pm$0.0009,0.00014$\pm$0.00021,0.000292$\pm$0.00046,1.21$\pm$1.5,3.7$\pm$2.6,1.21$\pm$1.4,0.000000804$\pm$0.00000092,1,2,2,1,1,1,2,2,2,1
Storm water and wastewater to End-of-life,0.00243$\pm$0.0033,1.47$\pm$1.7,1.57$\pm$1.9,0.000811$\pm$0.0011,0.000171$\pm$0.00025,0.000356$\pm$0.00057,1.49$\pm$1.9,4.53$\pm$3.2,1.47$\pm$1.7,0.000000982$\pm$0.0000011,1,2,2,1,1,1,2,2,2,1
Storm water and wastewater to Sludge amended soil,0.0695$\pm$0.092,41.9$\pm$46,44.8$\pm$51,0.0231$\pm$0.03,0.00489$\pm$0.0069,0.0103$\pm$0.016,42.3$\pm$50,129$\pm$89,41.9$\pm$46,0.000028$\pm$0.000031,1,4,4,1,1,1,4,6,4,1
Storm water and wastewater (MP) to Compost (MP),8.09$\pm$3.8,22$\pm$9.8,86$\pm$39,3.44$\pm$1.7,0.0282$\pm$0.016,28$\pm$13,40$\pm$16,188$\pm$46,30.1$\pm$11,0.00346$\pm$0.0017,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Soil (MP),3.45$\pm$2.1,8.83$\pm$5.4,28.6$\pm$22,1.15$\pm$0.88,0.0238$\pm$0.013,10.1$\pm$7.1,13.4$\pm$9.6,65.6$\pm$25,12.3$\pm$5.8,0.00117$\pm$0.00088,2,2,4,2,1,4,4,4,4,2
Storm water and wastewater (MP) to Fresh water (MP),0.136$\pm$0.095,0.34$\pm$0.24,1.03$\pm$0.88,0.0425$\pm$0.036,0.00104$\pm$0.00075,0.71$\pm$0.42,0.492$\pm$0.4,2.76$\pm$1.1,0.476$\pm$0.26,0.0000435$\pm$0.000036,1,1,2,1,1,1,1,2,1,1
