Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater (MP) to Sludge amended soil (MP),3.3$\pm$2.7,11.3$\pm$6.9,43.2$\pm$28,1.48$\pm$1.2,0.0348$\pm$0.018,13.8$\pm$8.9,41.2$\pm$16,114$\pm$35,14.6$\pm$7.4,0.00152$\pm$0.0012,2,4,4,2,1,4,4,6,4,2
On-the-go consumption to Waste collection and recycling,1120$\pm$670,2050$\pm$1100,4130$\pm$2300,623$\pm$350,0$\pm$0,485$\pm$270,11000$\pm$6500,19400$\pm$7100,3170$\pm$1300,0.623$\pm$0.35,8,8,8,6,0,6,10,10,8,6
On-the-go consumption to Litter,198$\pm$140,366$\pm$240,723$\pm$480,110$\pm$75,0$\pm$0,86.4$\pm$58,1960$\pm$1400,3440$\pm$1500,564$\pm$280,0.11$\pm$0.075,6,6,6,6,0,4,8,8,6,6
Litter to Waste collection and recycling,934$\pm$530,1320$\pm$640,1300$\pm$600,236$\pm$140,553$\pm$420,1000$\pm$780,2030$\pm$1300,7380$\pm$1900,2250$\pm$830,0.79$\pm$0.44,6,8,8,6,6,8,8,8,8,6
Litter to Storm water and wastewater,12.2$\pm$11,13.1$\pm$11,14.5$\pm$11,3.42$\pm$2.9,1.01$\pm$0.96,0.964$\pm$0.94,25.7$\pm$25,70.9$\pm$32,25.3$\pm$16,0.00443$\pm$0.003,4,4,4,2,2,1,4,4,4,2
Litter to Soil,166$\pm$100,374$\pm$290,325$\pm$200,32.8$\pm$21,304$\pm$290,578$\pm$540,421$\pm$340,2200$\pm$790,541$\pm$310,0.337$\pm$0.29,6,6,6,4,6,6,6,8,6,6
Litter to Fresh water,1.29$\pm$1.1,1.41$\pm$1.1,1.63$\pm$1.2,0.38$\pm$0.3,0.106$\pm$0.1,0.12$\pm$0.099,2.87$\pm$2.5,7.8$\pm$3.3,2.69$\pm$1.6,0.000486$\pm$0.00032,2,2,2,1,1,1,2,2,2,1
Litter to Coastal and ocean water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumping to Litter,50.7$\pm$19,57.4$\pm$23,96.8$\pm$32,29.5$\pm$10,4.31$\pm$1.9,21$\pm$8.3,74.2$\pm$27,334$\pm$53,108$\pm$30,0.0339$\pm$0.01,4,4,4,4,2,4,4,6,6,4
Unintended C&D waste to Waste collection and recycling,145$\pm$110,4.93$\pm$3.8,0$\pm$0,0$\pm$0,795$\pm$610,419$\pm$300,0$\pm$0,1360$\pm$690,150$\pm$110,0.795$\pm$0.61,6,2,0,0,6,6,0,8,6,6
Unintended C&D waste to Soil,2.89$\pm$2.8,0.0985$\pm$0.095,0$\pm$0,0$\pm$0,15.7$\pm$14,8.41$\pm$7.6,0$\pm$0,27.1$\pm$16,2.98$\pm$2.8,0.0157$\pm$0.014,2,1,0,0,4,2,0,4,2,4
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.24$\pm$0.23,0$\pm$0,0$\pm$0,0.24$\pm$0.23,0$\pm$0,0.00024$\pm$0.00023,0,0,0,0,1,0,0,1,0,1
Unintended C&D waste to Coastal and ocean water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indoor air to Waste collection and recycling,0.699$\pm$0.55,1.82$\pm$1.4,8$\pm$5.9,1.33$\pm$1.1,0.288$\pm$0.23,10$\pm$6.6,27.7$\pm$25,49.9$\pm$29,2.52$\pm$1.5,0.00162$\pm$0.0011,1,2,2,2,1,4,4,4,2,2
Indoor air to Storm water and wastewater (MP),0.125$\pm$0.11,0.325$\pm$0.27,1.42$\pm$1.1,0.238$\pm$0.21,0.0511$\pm$0.044,1.8$\pm$1.3,4.9$\pm$4.8,8.86$\pm$5.5,0.45$\pm$0.29,0.00029$\pm$0.00021,1,1,2,1,1,2,2,2,1,1
Indoor air to Air (MP),0.552$\pm$0.53,1.43$\pm$1.3,6.31$\pm$5.9,1.03$\pm$0.98,0.222$\pm$0.21,7.82$\pm$6.4,22$\pm$23,39.4$\pm$26,1.99$\pm$1.4,0.00125$\pm$0.001,1,2,2,2,1,2,4,4,2,2
Air to Soil (MP),1.14$\pm$0.81,3.06$\pm$2,15.9$\pm$9.7,1$\pm$1,3.23$\pm$1.4,17$\pm$8.6,39.8$\pm$30,81.4$\pm$36,4.2$\pm$2.2,0.0045$\pm$0.0017,2,2,4,2,2,4,4,4,2,2
Air to Fresh water (MP),0.0201$\pm$0.021,0.0544$\pm$0.055,0.285$\pm$0.27,0.0221$\pm$0.024,0.057$\pm$0.047,0.299$\pm$0.25,0.703$\pm$0.77,1.44$\pm$0.89,0.0745$\pm$0.059,0.000079$\pm$0.000053,1,1,1,1,1,1,1,2,1,1
Air to Coastal and ocean water (MP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic waste collection to Compost,3.6$\pm$2.4,2.11$\pm$1.5,4.8$\pm$3.5,0.569$\pm$0.4,0.0774$\pm$0.054,0.478$\pm$0.33,1.96$\pm$1.4,13.6$\pm$4.7,5.71$\pm$2.9,0.000647$\pm$0.00041,2,2,2,1,1,1,2,4,2,1
Organic waste collection to Compost (MP),3$\pm$2.1,1.78$\pm$1.3,4.05$\pm$3,0.477$\pm$0.35,0.0642$\pm$0.047,0.405$\pm$0.3,1.63$\pm$1.3,11.4$\pm$4.2,4.78$\pm$2.5,0.000541$\pm$0.00035,2,2,2,1,1,1,2,4,2,1
Organic waste collection to End-of-life,556$\pm$200,328$\pm$140,744$\pm$310,88.6$\pm$35,11.9$\pm$4.7,74.4$\pm$29,303$\pm$130,2110$\pm$420,884$\pm$240,0.1$\pm$0.036,6,6,6,4,4,4,6,8,6,6
Compost to Soil,4.89$\pm$3.2,45.3$\pm$38,51.6$\pm$42,0.929$\pm$0.65,0.185$\pm$0.17,0.58$\pm$0.38,46.4$\pm$41,150$\pm$74,50.2$\pm$38,0.00111$\pm$0.00067,2,4,4,1,1,1,4,6,4,2
