Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Compost (MP) to Soil (MP),5.5$\pm$2.6,8.95$\pm$3.6,34.7$\pm$14,1.78$\pm$0.7,0.0852$\pm$0.051,9.24$\pm$4.2,17.5$\pm$6.9,77.7$\pm$17,14.5$\pm$4.4,0.00186$\pm$0.0007,2,2,4,2,1,2,4,4,4,2
Total to Soil (MP),195$\pm$91,73.8$\pm$21,258$\pm$68,28.7$\pm$9.8,5.49$\pm$2.1,68.4$\pm$19,117$\pm$40,746$\pm$130,269$\pm$93,0.0342$\pm$0.01,6,4,6,4,2,4,6,6,6,4
Total to Fresh water (MP),1.15$\pm$0.83,4.24$\pm$2.4,15.9$\pm$10,1.16$\pm$0.53,0.345$\pm$0.24,8.69$\pm$4.2,10.6$\pm$6.8,42.1$\pm$13,5.38$\pm$2.5,0.0015$\pm$0.00058,2,2,4,2,1,2,4,4,2,2
Total to Soil,130$\pm$58,218$\pm$120,302$\pm$130,37$\pm$20,119$\pm$110,241$\pm$210,405$\pm$280,1450$\pm$410,348$\pm$140,0.155$\pm$0.11,6,6,6,4,6,6,6,8,6,6
Total to Fresh water,3.89$\pm$3.3,5.18$\pm$3.8,6.3$\pm$4.8,1$\pm$1,0.652$\pm$0.44,0.448$\pm$0.43,11.3$\pm$11,28.9$\pm$13,9.07$\pm$5,0.00183$\pm$0.0011,2,2,2,2,1,1,4,4,2,2
Total to Coastal and ocean water,25.8$\pm$14,25.9$\pm$14,5.33$\pm$1.3,0.2$\pm$0.14,0.583$\pm$0.52,0.0954$\pm$0.07,1.94$\pm$1.7,59.9$\pm$20,51.7$\pm$20,0.000783$\pm$0.00054,4,4,2,1,1,1,2,4,4,1
Total to Coastal and ocean water (MP),4.41$\pm$1.2,5.26$\pm$2,7.68$\pm$7.6,0.343$\pm$0.37,0.468$\pm$0.37,3.6$\pm$3.1,7.17$\pm$7.4,28.9$\pm$11,9.67$\pm$2.4,0.000811$\pm$0.00053,2,2,2,1,1,2,2,4,2,1
Total to Landfill,9070$\pm$3200,11700$\pm$3700,18700$\pm$5300,4890$\pm$1600,839$\pm$290,3740$\pm$1300,12000$\pm$3900,60900$\pm$8500,20800$\pm$4900,5.73$\pm$1.6,8,10,10,8,6,8,10,10,10,8
Total to Sludge amended soil,0.382$\pm$0.51,37.8$\pm$39,39.2$\pm$39,0.118$\pm$0.15,0.0291$\pm$0.041,0.0454$\pm$0.066,36.6$\pm$38,114$\pm$71,38.2$\pm$39,0.000147$\pm$0.00016,1,4,4,1,1,1,4,6,4,1
Total to Sludge amended soil (MP),16.9$\pm$7.7,49.9$\pm$20,216$\pm$82,9.01$\pm$3.6,0.134$\pm$0.058,62.7$\pm$25,112$\pm$39,466$\pm$97,66.8$\pm$21,0.00915$\pm$0.0036,4,4,6,2,1,4,6,6,4,2
External to Import,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
External to Production,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Construction,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
External to Automotive,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Agriculture,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Hygiene products,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to PCCP,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Household textiles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Other products,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
