Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Organic waste collection to Compost (MP),18.6$\pm$13,10.9$\pm$8.3,24.5$\pm$19,2.94$\pm$2.2,0.394$\pm$0.29,2.51$\pm$1.8,10$\pm$7.9,69.9$\pm$25,29.5$\pm$16,0.00334$\pm$0.0022,4,4,4,2,1,2,4,4,4,2
Organic waste collection to End-of-life,3420$\pm$1200,2010$\pm$840,4520$\pm$1900,546$\pm$220,72.9$\pm$29,461$\pm$180,1840$\pm$800,12900$\pm$2600,5440$\pm$1500,0.619$\pm$0.22,8,8,8,6,4,6,8,10,8,6
Compost to Soil,22$\pm$15,13$\pm$9.3,29.2$\pm$21,3.51$\pm$2.5,0.471$\pm$0.33,2.94$\pm$2,11.8$\pm$8.6,82.8$\pm$29,35$\pm$18,0.00398$\pm$0.0025,4,4,4,2,1,2,4,4,4,2
Compost (MP) to Soil (MP),18.6$\pm$13,10.9$\pm$8.3,24.5$\pm$19,2.94$\pm$2.2,0.394$\pm$0.29,2.51$\pm$1.8,10$\pm$7.9,69.9$\pm$25,29.5$\pm$16,0.00334$\pm$0.0022,4,4,4,2,1,2,4,4,4,2
Total to Soil (MP),1080$\pm$460,209$\pm$62,796$\pm$260,47.3$\pm$14,27.8$\pm$11,337$\pm$95,450$\pm$200,2940$\pm$580,1290$\pm$460,0.075$\pm$0.018,8,6,6,4,4,6,6,8,8,4
Total to Fresh water (MP),4.21$\pm$2.9,5.89$\pm$6.4,18.5$\pm$28,1.12$\pm$1.1,0.297$\pm$0.18,25.4$\pm$15,11$\pm$13,66.4$\pm$35,10.1$\pm$7,0.00142$\pm$0.0011,2,2,4,2,1,4,4,4,4,2
Total to Soil,1030$\pm$510,1930$\pm$1300,2290$\pm$1100,239$\pm$130,1390$\pm$1300,2720$\pm$2400,3000$\pm$2000,12600$\pm$3800,2960$\pm$1400,1.63$\pm$1.3,8,8,8,6,8,8,8,10,8,8
Total to Fresh water,49$\pm$42,53$\pm$43,59.6$\pm$47,13.9$\pm$11,4.72$\pm$3.8,4.2$\pm$3.9,104$\pm$95,289$\pm$120,102$\pm$60,0.0186$\pm$0.012,4,4,4,4,2,2,6,6,6,4
Total to Coastal and ocean water,100$\pm$53,108$\pm$53,29.7$\pm$9.3,1.31$\pm$0.91,3.57$\pm$3.1,0.558$\pm$0.39,18.5$\pm$12,262$\pm$77,209$\pm$75,0.00488$\pm$0.0032,6,6,4,2,2,1,4,6,6,2
Total to Coastal and ocean water (MP),21$\pm$6.3,30.6$\pm$13,72.4$\pm$54,2.88$\pm$2.2,1.1$\pm$0.88,25$\pm$18,39.2$\pm$27,192$\pm$65,51.6$\pm$15,0.00398$\pm$0.0024,4,4,4,2,2,4,4,6,4,2
Total to Landfill,235000$\pm$80000,335000$\pm$100000,485000$\pm$130000,122000$\pm$39000,22700$\pm$8000,98200$\pm$33000,311000$\pm$100000,1610000$\pm$220000,571000$\pm$130000,145$\pm$40,10,10,10,10,10,10,10,10,10,10
