Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Waste collection and recycling to Landfill,1430000$\pm$160000,2020000$\pm$200000,2890000$\pm$270000,739000$\pm$79000,145000$\pm$17000,585000$\pm$67000,1930000$\pm$210000,9730000$\pm$440000,3450000$\pm$260000,884$\pm$81,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to Reuse,563000$\pm$68000,752000$\pm$84000,1370000$\pm$110000,173000$\pm$25000,121000$\pm$21000,447000$\pm$66000,1080000$\pm$120000,4510000$\pm$210000,1320000$\pm$110000,295$\pm$32,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to End-of-life,3260000$\pm$320000,4450000$\pm$410000,6610000$\pm$530000,1560000$\pm$160000,2280000$\pm$270000,5090000$\pm$510000,3880000$\pm$400000,27100000$\pm$1000000,7710000$\pm$520000,3840$\pm$310,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,273$\pm$100,6530$\pm$1700,6940$\pm$1700,79.2$\pm$28,22.9$\pm$9.3,23.7$\pm$9.2,6750$\pm$1800,20600$\pm$3200,6810$\pm$1700,0.102$\pm$0.03,6,8,8,4,4,4,8,10,8,6
Storm water and wastewater to Compost,13.7$\pm$8.3,566$\pm$250,602$\pm$260,3.86$\pm$2.2,1.15$\pm$0.75,1.08$\pm$0.65,574$\pm$270,1760$\pm$470,580$\pm$250,0.00501$\pm$0.0023,4,6,6,2,2,2,6,8,6,2
Storm water and wastewater to Fresh water,233$\pm$71,308$\pm$77,348$\pm$87,67.6$\pm$20,19.1$\pm$6.2,20.9$\pm$7.3,570$\pm$180,1570$\pm$230,540$\pm$100,0.0867$\pm$0.021,6,6,6,4,4,4,6,8,6,4
Storm water and wastewater to Coastal and ocean water,132$\pm$72,167$\pm$73,180$\pm$75,37.3$\pm$19,11.3$\pm$6.5,10.1$\pm$5.7,275$\pm$140,812$\pm$190,299$\pm$100,0.0486$\pm$0.02,6,6,6,4,4,4,6,6,6,4
Storm water and wastewater to Landfill,17.1$\pm$14,370$\pm$150,394$\pm$160,4.97$\pm$4,1.47$\pm$1.3,1.5$\pm$1.2,382$\pm$170,1170$\pm$300,387$\pm$150,0.00643$\pm$0.0042,4,6,6,2,2,2,6,8,6,2
Storm water and wastewater to End-of-life,39.4$\pm$20,1160$\pm$530,1240$\pm$570,11.5$\pm$5.8,3.29$\pm$1.8,3.46$\pm$1.9,1200$\pm$580,3650$\pm$1000,1200$\pm$530,0.0147$\pm$0.0061,4,8,8,4,2,2,8,8,8,4
Storm water and wastewater to Sludge amended soil,83$\pm$49,2240$\pm$810,2370$\pm$840,24.1$\pm$14,7.03$\pm$4.4,7.17$\pm$4.5,2300$\pm$860,7030$\pm$1500,2320$\pm$810,0.0312$\pm$0.015,4,8,8,4,2,2,8,8,8,4
Storm water and wastewater (MP) to Compost (MP),144$\pm$32,393$\pm$82,1620$\pm$340,64.5$\pm$14,2.78$\pm$0.72,522$\pm$110,974$\pm$180,3720$\pm$420,537$\pm$88,0.0673$\pm$0.014,6,6,8,4,2,6,6,8,6,4
Storm water and wastewater (MP) to Soil (MP),200$\pm$42,518$\pm$110,1980$\pm$470,87$\pm$20,9.56$\pm$2.7,616$\pm$150,1110$\pm$240,4520$\pm$570,718$\pm$120,0.0965$\pm$0.02,6,6,8,4,2,6,8,8,6,4
Storm water and wastewater (MP) to Fresh water (MP),44.3$\pm$13,113$\pm$33,402$\pm$140,18.9$\pm$5.9,3.3$\pm$1.1,225$\pm$52,231$\pm$72,1040$\pm$170,157$\pm$35,0.0222$\pm$0.006,4,6,6,4,2,6,6,8,6,4
Storm water and wastewater (MP) to Coastal and ocean water (MP),27.7$\pm$12,70.6$\pm$32,278$\pm$130,12.1$\pm$5.4,0.778$\pm$0.31,122$\pm$44,139$\pm$63,651$\pm$160,98.3$\pm$34,0.0129$\pm$0.0054,4,4,6,4,1,6,6,6,4,4
Storm water and wastewater (MP) to Landfill,48.9$\pm$12,135$\pm$32,561$\pm$130,22$\pm$5.4,0.59$\pm$0.13,183$\pm$41,387$\pm$72,1340$\pm$160,184$\pm$35,0.0226$\pm$0.0054,4,6,6,4,1,6,6,8,6,4
Storm water and wastewater (MP) to End-of-life,373$\pm$95,1020$\pm$240,4230$\pm$1000,170$\pm$43,9.3$\pm$3.1,1350$\pm$320,2430$\pm$490,9590$\pm$1200,1400$\pm$260,0.179$\pm$0.043,6,8,8,6,2,8,8,8,8,6
Storm water and wastewater (MP) to Sludge amended soil (MP),612$\pm$110,1670$\pm$270,6900$\pm$1100,278$\pm$48,6.02$\pm$1.1,2220$\pm$350,3620$\pm$560,15300$\pm$1400,2280$\pm$290,0.284$\pm$0.048,6,8,8,6,2,8,8,10,8,6
On-the-go consumption to Waste collection and recycling,74500$\pm$14000,139000$\pm$23000,274000$\pm$48000,41700$\pm$7400,0$\pm$0,32900$\pm$5700,742000$\pm$140000,1300000$\pm$150000,213000$\pm$27000,41.7$\pm$7.4,10,10,10,10,0,10,10,10,10,10
On-the-go consumption to Litter,14100$\pm$3200,26200$\pm$5400,51900$\pm$11000,7880$\pm$1700,0$\pm$0,6200$\pm$1300,140000$\pm$31000,247000$\pm$34000,40300$\pm$6300,7.88$\pm$1.7,10,10,10,8,0,8,10,10,10,8
Litter to Waste collection and recycling,61200$\pm$11000,86800$\pm$13000,90600$\pm$13000,16800$\pm$2900,34100$\pm$8200,63400$\pm$15000,145000$\pm$29000,498000$\pm$40000,148000$\pm$17000,50.9$\pm$8.7,10,10,10,10,10,10,10,10,10,10
Litter to Storm water and wastewater,791$\pm$230,860$\pm$240,963$\pm$250,228$\pm$63,66.2$\pm$21,67.9$\pm$21,1650$\pm$510,4630$\pm$660,1650$\pm$330,0.295$\pm$0.066,6,6,6,6,4,4,8,8,8,6
Litter to Soil,12000$\pm$2400,25500$\pm$6100,23700$\pm$4700,2990$\pm$630,19200$\pm$6000,37600$\pm$11000,30700$\pm$8000,152000$\pm$17000,37500$\pm$6600,22.2$\pm$6,10,10,10,8,10,10,10,10,10,10
Litter to Fresh water,52.7$\pm$14,58.3$\pm$14,71.2$\pm$17,16.9$\pm$4,4.28$\pm$1.3,6.68$\pm$1.6,118$\pm$33,328$\pm$42,111$\pm$20,0.0212$\pm$0.0042,4,4,4,4,2,2,6,6,6,4
Litter to Coastal and ocean water,38.9$\pm$13,44$\pm$13,54.4$\pm$15,12.5$\pm$3.6,3.09$\pm$1.1,4.85$\pm$1.3,96.8$\pm$31,255$\pm$39,83$\pm$19,0.0156$\pm$0.0038,4,4,4,4,2,2,4,6,4,4
Dumping to Litter,6570$\pm$1100,7420$\pm$1300,12500$\pm$1900,3800$\pm$600,555$\pm$110,2720$\pm$500,9580$\pm$1600,43100$\pm$3200,14000$\pm$1800,4.35$\pm$0.61,8,8,10,8,6,8,8,10,10,8
Unintended C&D waste to Waste collection and recycling,9060$\pm$2200,309$\pm$74,0$\pm$0,0$\pm$0,49200$\pm$12000,26300$\pm$5600,0$\pm$0,84800$\pm$13000,9360$\pm$2200,49.2$\pm$12,8,6,0,0,10,10,0,10,8,10
Unintended C&D waste to Soil,187$\pm$59,6.37$\pm$2,0$\pm$0,0$\pm$0,906$\pm$260,542$\pm$160,0$\pm$0,1640$\pm$310,193$\pm$59,0.906$\pm$0.26,6,2,0,0,6,6,0,8,6,6
Unintended C&D waste to Fresh water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,23.3$\pm$6.8,0$\pm$0,0$\pm$0,23.3$\pm$6.8,0$\pm$0,0.0233$\pm$0.0068,0,0,0,0,4,0,0,4,0,4
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,83.2$\pm$35,0$\pm$0,0$\pm$0,83.2$\pm$35,0$\pm$0,0.0832$\pm$0.035,0,0,0,0,4,0,0,4,0,4
