Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Other products to Waste collection and recycling,3610$\pm$1500,3560$\pm$1500,10300$\pm$3500,4300$\pm$1500,294$\pm$120,4840$\pm$1900,1000$\pm$590,27900$\pm$4800,7180$\pm$2100,4.6$\pm$1.5,8,8,10,8,6,8,8,10,8,8
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.78$\pm$1.6,0$\pm$0,2.78$\pm$1.6,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Dumping,5.12$\pm$2.9,5.05$\pm$2.8,14.5$\pm$6.9,6.6$\pm$3,0.417$\pm$0.22,7.08$\pm$3.4,1.33$\pm$0.98,40.1$\pm$9.2,10.2$\pm$4,0.00702$\pm$0.003,2,2,4,2,1,2,2,4,4,2
Other products to Organic waste collection,0.599$\pm$0.3,1.38$\pm$0.7,1.64$\pm$0.82,1.14$\pm$0.57,0.247$\pm$0.12,1.03$\pm$0.52,0.0506$\pm$0.026,6.09$\pm$1.4,1.98$\pm$0.77,0.00138$\pm$0.00058,1,2,2,2,1,2,1,2,2,2
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.87$\pm$1.1,0$\pm$0,1.87$\pm$1.1,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.138$\pm$0.086,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.138$\pm$0.086,0.138$\pm$0.086,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.349$\pm$0.22,0.796$\pm$0.49,0.944$\pm$0.58,0.653$\pm$0.4,0.142$\pm$0.087,1.53$\pm$0.84,0.029$\pm$0.018,4.44$\pm$1.2,1.15$\pm$0.53,0.000795$\pm$0.00041,1,1,1,1,1,2,1,2,2,1
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.87$\pm$1.2,0$\pm$0,1.87$\pm$1.2,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,19.5$\pm$10,18.4$\pm$9.4,680$\pm$350,394$\pm$200,0$\pm$0,157$\pm$82,0.0712$\pm$0.037,1270$\pm$420,37.8$\pm$14,0.394$\pm$0.2,4,4,6,6,0,6,1,8,4,6
Other products to Fresh water,0.0224$\pm$0.015,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0224$\pm$0.015,0.0224$\pm$0.015,0$\pm$0,1,0,0,0,0,0,0,1,1,0
