Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater to Landfill,0$\pm$0,3.7$\pm$4,3.89$\pm$4.3,0$\pm$0,0$\pm$0,0$\pm$0,3.6$\pm$4.2,11.2$\pm$7.5,3.7$\pm$4,0$\pm$0,0,2,2,0,0,0,2,4,2,0
Storm water and wastewater (MP) to Soil (MP),0.00384$\pm$0.002,0.0508$\pm$0.027,0.177$\pm$0.12,0.00274$\pm$0.0018,0.000851$\pm$0.00059,0.0572$\pm$0.048,0.748$\pm$0.55,1.04$\pm$0.56,0.0547$\pm$0.027,0.00000359$\pm$0.0000019,1,1,1,1,1,1,1,2,1,1
Storm water and wastewater (MP) to Fresh water (MP),0.00144$\pm$0.00078,0.0168$\pm$0.0081,0.0501$\pm$0.028,0.000883$\pm$0.00051,0.000305$\pm$0.00022,0.214$\pm$0.14,0.201$\pm$0.12,0.484$\pm$0.18,0.0183$\pm$0.0081,0.00000119$\pm$0.00000056,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater (MP) to Coastal and ocean water (MP),0.0011$\pm$0.002,0.0221$\pm$0.04,0.111$\pm$0.2,0.00129$\pm$0.0026,0.000277$\pm$0.00057,0.0361$\pm$0.071,0.508$\pm$0.89,0.68$\pm$0.91,0.0232$\pm$0.04,0.00000157$\pm$0.0000027,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater (MP) to Landfill,0.012$\pm$0.0056,0.242$\pm$0.11,1.18$\pm$0.51,0.0139$\pm$0.009,0.00306$\pm$0.0021,0.397$\pm$0.24,5.44$\pm$2.1,7.28$\pm$2.2,0.254$\pm$0.11,0.000017$\pm$0.0000092,1,1,2,1,1,1,2,2,1,1
On-the-go consumption to Waste collection and recycling,57.8$\pm$35,108$\pm$58,213$\pm$120,32.7$\pm$19,0$\pm$0,25.6$\pm$14,580$\pm$340,1020$\pm$370,166$\pm$67,0.0327$\pm$0.019,4,6,6,4,0,4,6,8,6,4
On-the-go consumption to Litter,11.4$\pm$8.2,21.2$\pm$14,42.1$\pm$28,6.51$\pm$4.4,0$\pm$0,5.01$\pm$3.2,115$\pm$80,201$\pm$86,32.6$\pm$16,0.00651$\pm$0.0044,4,4,4,2,0,2,6,6,4,2
Litter to Waste collection and recycling,32.8$\pm$16,49.8$\pm$22,63.6$\pm$31,11.6$\pm$5.7,16.4$\pm$11,34.1$\pm$22,119$\pm$76,327$\pm$89,82.6$\pm$27,0.028$\pm$0.013,4,4,4,4,4,4,6,6,4,4
Litter to Storm water and wastewater,0.137$\pm$0.12,0.17$\pm$0.14,0.238$\pm$0.21,0.0484$\pm$0.039,0.00948$\pm$0.0089,0.0223$\pm$0.021,0.485$\pm$0.5,1.11$\pm$0.57,0.307$\pm$0.18,0.0000578$\pm$0.00004,1,1,1,1,1,1,1,2,1,1
Litter to Soil,3.87$\pm$2.1,6.67$\pm$3.7,8.99$\pm$5,1.69$\pm$0.91,2.84$\pm$2.6,6.25$\pm$5,15$\pm$11,45.3$\pm$14,10.5$\pm$4.2,0.00453$\pm$0.0027,2,2,2,2,2,2,4,4,4,2
Litter to Coastal and ocean water,0.0241$\pm$0.017,0.0345$\pm$0.025,0.0569$\pm$0.046,0.0106$\pm$0.0075,0.00115$\pm$0.00093,0.00672$\pm$0.0051,0.131$\pm$0.12,0.265$\pm$0.13,0.0586$\pm$0.031,0.0000117$\pm$0.0000075,1,1,1,1,1,1,1,1,1,1
Dumping to Litter,6.91$\pm$2.6,7.83$\pm$3.1,13.1$\pm$4.3,4.01$\pm$1.4,0.587$\pm$0.26,2.86$\pm$1.1,10.1$\pm$3.7,45.3$\pm$7.2,14.7$\pm$4.1,0.0046$\pm$0.0014,2,2,4,2,1,2,4,4,4,2
Unintended C&D waste to Waste collection and recycling,3.14$\pm$2.4,0.108$\pm$0.085,0$\pm$0,0$\pm$0,17.1$\pm$13,9.3$\pm$6.4,0$\pm$0,29.6$\pm$15,3.24$\pm$2.4,0.0171$\pm$0.013,2,1,0,0,4,2,0,4,2,4
Unintended C&D waste to Soil,0.0249$\pm$0.024,0.000861$\pm$0.00084,0$\pm$0,0$\pm$0,0.0326$\pm$0.027,0.0744$\pm$0.065,0$\pm$0,0.133$\pm$0.074,0.0257$\pm$0.024,0.0000326$\pm$0.000027,1,1,0,0,1,1,0,1,1,1
Unintended C&D waste to Coastal and ocean water,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.104$\pm$0.099,0$\pm$0,0$\pm$0,0.104$\pm$0.099,0$\pm$0,0.000104$\pm$0.000099,0,0,0,0,1,0,0,1,0,1
Indoor air to Waste collection and recycling,0.0372$\pm$0.029,0.0991$\pm$0.074,0.433$\pm$0.32,0.0717$\pm$0.056,0.0153$\pm$0.012,0.541$\pm$0.35,1.48$\pm$1.3,2.67$\pm$1.5,0.136$\pm$0.08,0.000087$\pm$0.000057,1,1,1,1,1,1,2,2,1,1
Indoor air to Storm water and wastewater (MP),0.00661$\pm$0.0057,0.0176$\pm$0.014,0.0763$\pm$0.062,0.0127$\pm$0.011,0.00273$\pm$0.0024,0.0954$\pm$0.07,0.263$\pm$0.24,0.475$\pm$0.28,0.0242$\pm$0.016,0.0000155$\pm$0.000011,1,1,1,1,1,1,1,1,1,1
Indoor air to Air (MP),0.0296$\pm$0.029,0.0768$\pm$0.07,0.339$\pm$0.32,0.0558$\pm$0.054,0.0121$\pm$0.011,0.419$\pm$0.35,1.18$\pm$1.3,2.11$\pm$1.5,0.106$\pm$0.075,0.0000679$\pm$0.000055,1,1,1,1,1,1,2,2,1,1
Air to Soil (MP),0.0099$\pm$0.011,0.0283$\pm$0.031,0.18$\pm$0.18,0.0187$\pm$0.022,0.058$\pm$0.04,0.272$\pm$0.22,0.727$\pm$0.72,1.29$\pm$0.82,0.0382$\pm$0.033,0.0000768$\pm$0.000046,1,1,1,1,1,1,1,2,1,1
Air to Coastal and ocean water (MP),0.0197$\pm$0.02,0.056$\pm$0.051,0.352$\pm$0.29,0.0373$\pm$0.038,0.116$\pm$0.06,0.544$\pm$0.34,1.43$\pm$1.2,2.55$\pm$1.4,0.0758$\pm$0.054,0.000153$\pm$0.000071,1,1,1,1,1,1,2,2,1,1
Organic waste collection to Compost,0.135$\pm$0.092,0.0809$\pm$0.058,0.181$\pm$0.13,0.0217$\pm$0.015,0.00293$\pm$0.0021,0.0183$\pm$0.013,0.074$\pm$0.053,0.514$\pm$0.18,0.216$\pm$0.11,0.0000247$\pm$0.000016,1,1,1,1,1,1,1,1,1,1
