Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Other products to Soil,0.577$\pm$0.35,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.577$\pm$0.35,0.577$\pm$0.35,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),1.44$\pm$0.89,3.43$\pm$2.1,3.96$\pm$2.4,2.75$\pm$1.7,0.589$\pm$0.36,6.35$\pm$3.5,0.122$\pm$0.075,18.6$\pm$5.1,4.87$\pm$2.3,0.00333$\pm$0.0017,2,2,2,2,1,2,1,4,2,2
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,7.71$\pm$5.1,0$\pm$0,7.71$\pm$5.1,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,108$\pm$50,100$\pm$47,3760$\pm$1700,2170$\pm$1000,0$\pm$0,873$\pm$400,0.394$\pm$0.18,7020$\pm$2000,208$\pm$68,2$\pm$1,6,6,8,8,0,6,1,8,6,8
Other products to Fresh water,0.094$\pm$0.061,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.094$\pm$0.061,0.094$\pm$0.061,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,511$\pm$61,511$\pm$60,226$\pm$27,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1250$\pm$90,1020$\pm$85,0$\pm$0,6,6,6,0,0,0,0,8,8,0
Fishing gear to Fresh water (MP),0.0108$\pm$0.004,0.0108$\pm$0.0039,0.00469$\pm$0.0017,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0262$\pm$0.0058,0.0215$\pm$0.0055,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,8.55$\pm$4.6,8.59$\pm$4.6,1.48$\pm$0.36,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,18.6$\pm$6.5,17.1$\pm$6.5,0$\pm$0,2,2,2,0,0,0,0,4,4,0
Fishing gear to Coastal and ocean water (MP),1.34$\pm$0.37,1.33$\pm$0.37,0.584$\pm$0.16,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.25$\pm$0.54,2.67$\pm$0.52,0$\pm$0,2,2,1,0,0,0,0,2,2,0
Waste collection and recycling to Storm water and wastewater (MP),0.517$\pm$0.17,2.18$\pm$0.64,4.03$\pm$1.4,0.233$\pm$0.07,0.0184$\pm$0.0092,0.998$\pm$0.44,0.985$\pm$0.43,8.95$\pm$1.7,2.69$\pm$0.66,0.000251$\pm$0.00007,1,2,2,1,1,1,1,2,2,1
Waste collection and recycling to Litter,511$\pm$280,1460$\pm$1100,767$\pm$500,0$\pm$0,1530$\pm$1200,2900$\pm$2200,177$\pm$140,7350$\pm$2800,1970$\pm$1100,1.53$\pm$1.2,6,8,6,0,8,8,6,8,8,8
Waste collection and recycling to Soil (MP),0.298$\pm$0.23,0.604$\pm$0.34,1.08$\pm$0.49,0.142$\pm$0.12,0.117$\pm$0.12,0.403$\pm$0.28,0.626$\pm$0.31,3.28$\pm$0.78,0.902$\pm$0.41,0.000259$\pm$0.00017,1,1,2,1,1,1,1,2,1,1
Waste collection and recycling to Soil,6.38$\pm$3.1,7.15$\pm$3.7,11.5$\pm$5.6,3.2$\pm$1.6,0.75$\pm$0.39,2.62$\pm$1.4,9.22$\pm$4.4,40.8$\pm$8.9,13.5$\pm$4.8,0.00395$\pm$0.0017,2,2,4,2,1,2,2,4,4,2
Waste collection and recycling to Air (MP),0.000161$\pm$0.00011,0.000153$\pm$0.00011,0.00568$\pm$0.0039,0.00329$\pm$0.0023,0$\pm$0,0.00132$\pm$0.0009,0.000000595$\pm$0.00000042,0.0106$\pm$0.0046,0.000314$\pm$0.00015,0.00000329$\pm$0.0000023,1,1,1,1,0,1,1,1,1,1
Waste collection and recycling to Landfill,57000$\pm$18000,84700$\pm$24000,115000$\pm$30000,28700$\pm$8700,6340$\pm$2100,22800$\pm$7500,79400$\pm$25000,394000$\pm$50000,142000$\pm$30000,35$\pm$8.9,10,10,10,10,8,10,10,10,10,10
Waste collection and recycling to Reuse,5570$\pm$2200,9370$\pm$3300,23700$\pm$7800,2200$\pm$1100,1340$\pm$990,8270$\pm$3200,10400$\pm$2900,60800$\pm$9800,14900$\pm$3900,3.53$\pm$1.4,8,8,10,8,8,8,10,10,10,8
Waste collection and recycling to End-of-life,16100$\pm$8100,14400$\pm$9400,23700$\pm$14000,6030$\pm$4200,30400$\pm$12000,60400$\pm$23000,16000$\pm$11000,167000$\pm$34000,30500$\pm$12000,36.4$\pm$13,10,10,10,8,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,5.41$\pm$6,132$\pm$110,138$\pm$110,1.4$\pm$1.5,0.484$\pm$0.56,0.267$\pm$0.29,132$\pm$120,409$\pm$210,137$\pm$110,0.00189$\pm$0.0016,2,6,6,2,1,1,6,6,6,2
Storm water and wastewater to Fresh water,3.45$\pm$3.8,5.18$\pm$4.1,5.13$\pm$3.7,0.913$\pm$0.97,0.312$\pm$0.35,0.174$\pm$0.19,6.66$\pm$5.7,21.8$\pm$8.9,8.63$\pm$5.6,0.00122$\pm$0.001,2,2,2,1,1,1,2,4,2,2
Storm water and wastewater to Coastal and ocean water,30$\pm$28,30.3$\pm$27,29.5$\pm$23,7.82$\pm$6.8,2.69$\pm$2.6,1.48$\pm$1.4,43.6$\pm$39,145$\pm$60,60.3$\pm$39,0.0105$\pm$0.0073,4,4,4,2,2,2,4,6,4,4
Storm water and wastewater to Landfill,1.29$\pm$1.8,37.3$\pm$37,39.9$\pm$40,0.337$\pm$0.44,0.12$\pm$0.17,0.0644$\pm$0.09,37.8$\pm$39,117$\pm$71,38.6$\pm$37,0.000457$\pm$0.00048,2,4,4,1,1,1,4,6,4,1
Storm water and wastewater to End-of-life,1.32$\pm$1.8,38.4$\pm$39,40.7$\pm$41,0.345$\pm$0.46,0.123$\pm$0.18,0.0659$\pm$0.094,39$\pm$40,120$\pm$73,39.7$\pm$39,0.000467$\pm$0.00049,2,4,4,1,1,1,4,6,4,1
Storm water and wastewater to Sludge amended soil,0.361$\pm$0.51,10.5$\pm$11,11.2$\pm$12,0.0947$\pm$0.13,0.0337$\pm$0.051,0.0182$\pm$0.026,10.7$\pm$11,32.8$\pm$20,10.8$\pm$11,0.000128$\pm$0.00014,1,4,4,1,1,1,4,4,4,1
Storm water and wastewater (MP) to Soil (MP),0.215$\pm$0.1,1.34$\pm$0.61,4.71$\pm$2.6,0.104$\pm$0.052,0.021$\pm$0.013,2$\pm$1,16.9$\pm$11,24.8$\pm$12,1.56$\pm$0.62,0.000125$\pm$0.000053,1,2,2,1,1,2,4,4,2,1
Storm water and wastewater (MP) to Fresh water (MP),0.0233$\pm$0.011,0.207$\pm$0.12,0.889$\pm$0.52,0.0146$\pm$0.0091,0.00282$\pm$0.0019,0.644$\pm$0.41,3.71$\pm$2.2,5.49$\pm$2.3,0.23$\pm$0.12,0.0000174$\pm$0.0000093,1,1,1,1,1,1,2,2,1,1
Storm water and wastewater (MP) to Coastal and ocean water (MP),0.0635$\pm$0.039,0.244$\pm$0.17,0.501$\pm$0.6,0.0224$\pm$0.015,0.00485$\pm$0.004,2.94$\pm$1.9,0.552$\pm$2.3,4.33$\pm$3,0.307$\pm$0.17,0.0000272$\pm$0.000016,1,1,1,1,1,2,1,2,1,1
Storm water and wastewater (MP) to Landfill,0.21$\pm$0.08,2$\pm$1,11.3$\pm$4.7,0.162$\pm$0.089,0.0306$\pm$0.019,4.17$\pm$2.3,49.6$\pm$19,67.9$\pm$20,3$\pm$1,0.000192$\pm$0.000091,1,2,4,1,1,2,4,4,2,1
