Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Automotive to Soil,0.188$\pm$0.096,0.634$\pm$0.33,3$\pm$1.5,0.00396$\pm$0.002,0$\pm$0,0.212$\pm$0.11,0.000141$\pm$0.000072,4.04$\pm$1.6,0.821$\pm$0.34,0.00000396$\pm$0.000002,1,1,2,1,0,1,1,2,1,1
Automotive to Export,13.5$\pm$6.1,35.5$\pm$15,163$\pm$64,6.05$\pm$2.7,0$\pm$0,44$\pm$20,30.5$\pm$14,292$\pm$70,48.9$\pm$16,0.00605$\pm$0.0027,4,4,6,2,0,4,4,6,4,2
Agriculture to Waste collection and recycling,1680$\pm$550,164$\pm$48,759$\pm$230,3.08$\pm$1.3,0$\pm$0,29.9$\pm$12,70.3$\pm$30,2710$\pm$600,1850$\pm$560,0.00308$\pm$0.0013,8,6,6,2,0,4,4,8,8,2
Agriculture to Dumping,5.2$\pm$2.6,0.5$\pm$0.22,2$\pm$1,0.00954$\pm$0.0061,0$\pm$0,0.093$\pm$0.047,0.217$\pm$0.14,8.34$\pm$2.8,5.7$\pm$2.6,0.00000954$\pm$0.0000061,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,9.05$\pm$3.5,0.446$\pm$0.18,4.07$\pm$1.4,0.00343$\pm$0.0017,0$\pm$0,0.0668$\pm$0.03,0.384$\pm$0.19,14$\pm$3.8,9.49$\pm$3.5,0.00000343$\pm$0.0000017,2,1,2,1,0,1,1,4,2,1
Agriculture to Soil (MP),31.3$\pm$16,0.723$\pm$0.59,5.16$\pm$4.2,0.00315$\pm$0.0019,0$\pm$0,0.221$\pm$0.11,0.863$\pm$0.7,38.3$\pm$16,32$\pm$16,0.00000315$\pm$0.0000019,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,3.8$\pm$2,1.59$\pm$0.95,0.914$\pm$0.39,0.0652$\pm$0.045,0$\pm$0,0.596$\pm$0.36,0.0436$\pm$0.03,7$\pm$2.2,5.38$\pm$2.2,0.0000652$\pm$0.000045,2,2,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0$\pm$0,45.8$\pm$32,63.1$\pm$40,0$\pm$0,0$\pm$0,0$\pm$0,98.7$\pm$58,208$\pm$86,45.8$\pm$32,0$\pm$0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Storm water and wastewater,0$\pm$0,25.9$\pm$18,27.9$\pm$19,0$\pm$0,0$\pm$0,0$\pm$0,26.3$\pm$20,80.1$\pm$37,25.9$\pm$18,0$\pm$0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Dumping,0$\pm$0,0.217$\pm$0.16,0.274$\pm$0.19,0$\pm$0,0$\pm$0,0$\pm$0,0.377$\pm$0.25,0.868$\pm$0.38,0.217$\pm$0.16,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.0365$\pm$0.029,0.0000872$\pm$0.00007,0$\pm$0,0$\pm$0,0$\pm$0,0.000194$\pm$0.00015,0.0368$\pm$0.029,0.0365$\pm$0.029,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,0.694$\pm$0.45,0.00167$\pm$0.0011,0$\pm$0,0$\pm$0,0$\pm$0,0.00367$\pm$0.0023,0.699$\pm$0.45,0.694$\pm$0.45,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0$\pm$0,27.5$\pm$17,574$\pm$260,0$\pm$0,0$\pm$0,0$\pm$0,3020$\pm$1100,3620$\pm$1100,27.5$\pm$17,0$\pm$0,0,4,6,0,0,0,8,8,4,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.214$\pm$0.14,4.47$\pm$2.1,0$\pm$0,0$\pm$0,0$\pm$0,23.5$\pm$8.5,28.2$\pm$8.9,0.214$\pm$0.14,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Dumping,0$\pm$0,0.0821$\pm$0.067,2$\pm$1,0$\pm$0,0$\pm$0,0$\pm$0,9.09$\pm$4.7,10.9$\pm$4.8,0.0821$\pm$0.067,0$\pm$0,0,1,2,0,0,0,2,4,1,0
Clothing to Indoor air (MP),0$\pm$0,0.0781$\pm$0.081,1.66$\pm$1.6,0$\pm$0,0$\pm$0,0$\pm$0,8.66$\pm$7.5,10.4$\pm$8.7,0.0781$\pm$0.081,0$\pm$0,0,1,2,0,0,0,2,4,1,0
Clothing to Air (MP),0$\pm$0,0.0329$\pm$0.031,0.691$\pm$0.55,0$\pm$0,0$\pm$0,0$\pm$0,3.62$\pm$2.6,4.34$\pm$3,0.0329$\pm$0.031,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0$\pm$0,3.81$\pm$1.7,448$\pm$150,0$\pm$0,0$\pm$0,0$\pm$0,1380$\pm$420,1830$\pm$440,3.81$\pm$1.7,0$\pm$0,0,2,6,0,0,0,8,8,2,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.00237$\pm$0.0011,0.28$\pm$0.096,0$\pm$0,0$\pm$0,0$\pm$0,0.858$\pm$0.27,1.14$\pm$0.3,0.00237$\pm$0.0011,0$\pm$0,0,1,1,0,0,0,1,2,1,0
Household textiles to Dumping,0$\pm$0,0.0114$\pm$0.0073,1.34$\pm$0.67,0$\pm$0,0$\pm$0,0$\pm$0,4.16$\pm$1.9,5.51$\pm$2.1,0.0114$\pm$0.0073,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.00679$\pm$0.0066,0.798$\pm$0.71,0$\pm$0,0$\pm$0,0$\pm$0,2.45$\pm$2.1,3.25$\pm$2.8,0.00679$\pm$0.0066,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Air (MP),0$\pm$0,0.000336$\pm$0.00027,0.0398$\pm$0.03,0$\pm$0,0$\pm$0,0$\pm$0,0.122$\pm$0.089,0.162$\pm$0.11,0.000336$\pm$0.00027,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,2930$\pm$1200,2910$\pm$1200,8180$\pm$2800,3340$\pm$1200,238$\pm$100,3870$\pm$1500,952$\pm$510,22400$\pm$3900,5840$\pm$1700,3.58$\pm$1.2,8,8,8,8,6,8,6,10,8,8
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.29$\pm$1.3,0$\pm$0,2.29$\pm$1.3,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Dumping,8.95$\pm$5.1,8.8$\pm$4.9,25.1$\pm$12,11.4$\pm$5.1,0.717$\pm$0.39,12.2$\pm$5.7,2.44$\pm$1.8,69.6$\pm$16,17.8$\pm$7.1,0.0122$\pm$0.0051,2,2,4,4,1,4,2,4,4,4
Other products to Organic waste collection,0.302$\pm$0.15,0.727$\pm$0.37,0.827$\pm$0.41,0.58$\pm$0.29,0.125$\pm$0.063,0.525$\pm$0.26,0.0258$\pm$0.013,3.11$\pm$0.69,1.03$\pm$0.4,0.000705$\pm$0.00029,1,1,1,1,1,1,1,2,2,1
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.51$\pm$0.86,0$\pm$0,1.51$\pm$0.86,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.113$\pm$0.07,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.113$\pm$0.07,0.113$\pm$0.07,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.277$\pm$0.17,0.667$\pm$0.42,0.763$\pm$0.47,0.531$\pm$0.33,0.116$\pm$0.072,1.23$\pm$0.68,0.0237$\pm$0.015,4$\pm$1,0.944$\pm$0.45,0.000646$\pm$0.00034,1,1,1,1,1,2,1,2,1,1
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.51$\pm$0.98,0$\pm$0,1.51$\pm$0.98,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,23.2$\pm$10,21.8$\pm$9.8,809$\pm$360,474$\pm$210,0$\pm$0,187$\pm$84,0.0854$\pm$0.038,1520$\pm$420,45$\pm$14,0.474$\pm$0.21,4,4,6,6,0,6,1,8,4,6
Other products to Fresh water,0.0181$\pm$0.012,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0181$\pm$0.012,0.0181$\pm$0.012,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,183$\pm$33,184$\pm$34,82.4$\pm$15,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,449$\pm$50,367$\pm$48,0$\pm$0,6,6,4,0,0,0,0,6,6,0
Fishing gear to Fresh water (MP),0.0411$\pm$0.015,0.0412$\pm$0.015,0.0181$\pm$0.0065,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.1$\pm$0.022,0.0823$\pm$0.021,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,8.48$\pm$4.6,8.49$\pm$4.7,1.46$\pm$0.36,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,18.4$\pm$6.6,17$\pm$6.5,0$\pm$0,2,2,2,0,0,0,0,4,4,0
Fishing gear to Coastal and ocean water (MP),1.33$\pm$0.36,1.33$\pm$0.36,0.58$\pm$0.16,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.24$\pm$0.54,2.66$\pm$0.51,0$\pm$0,2,2,1,0,0,0,0,2,2,0
Waste collection and recycling to Storm water and wastewater (MP),3.04$\pm$1.6,7.85$\pm$4.2,31.1$\pm$17,1.35$\pm$0.74,0.00843$\pm$0.0036,9.69$\pm$5.4,0.327$\pm$0.14,53.3$\pm$19,10.9$\pm$4.5,0.00136$\pm$0.00074,2,2,4,2,1,2,1,4,4,2
