Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Total to Soil (MP),347$\pm$120,174$\pm$59,461$\pm$130,70.6$\pm$27,19.4$\pm$6.2,69.5$\pm$23,103$\pm$52,1240$\pm$200,521$\pm$140,0.09$\pm$0.027,6,6,6,4,4,4,6,8,6,4
Total to Fresh water (MP),3.5$\pm$1.6,6.93$\pm$3.3,22.2$\pm$13,2.14$\pm$0.97,0.458$\pm$0.2,5.27$\pm$3.4,7.84$\pm$5.4,48.3$\pm$15,10.4$\pm$3.7,0.0026$\pm$0.00099,2,2,4,2,1,2,2,4,4,2
Total to Soil,362$\pm$200,761$\pm$580,765$\pm$390,57.9$\pm$37,646$\pm$580,1200$\pm$1100,873$\pm$600,4660$\pm$1600,1120$\pm$610,0.703$\pm$0.58,6,6,6,4,6,8,6,8,8,6
Total to Fresh water,4.89$\pm$4,6.94$\pm$4.4,7.45$\pm$4.6,1$\pm$1,0.925$\pm$0.6,0.347$\pm$0.3,11$\pm$8.1,32.9$\pm$11,11.8$\pm$5.9,0.00223$\pm$0.0012,2,2,2,2,1,1,4,4,4,2
Total to Coastal and ocean water,3.19$\pm$1.5,3.24$\pm$1.5,1.39$\pm$0.76,0.23$\pm$0.19,0.418$\pm$0.34,0.0668$\pm$0.056,1.69$\pm$1.5,10.2$\pm$2.7,6.43$\pm$2.1,0.000648$\pm$0.00038,2,2,2,1,1,1,2,4,2,1
Total to Coastal and ocean water (MP),0.408$\pm$0.11,0.469$\pm$0.13,0.623$\pm$0.4,0.0326$\pm$0.033,0.0633$\pm$0.053,0.378$\pm$0.32,0.781$\pm$0.86,2.75$\pm$1.1,0.877$\pm$0.17,0.0000959$\pm$0.000062,1,1,1,1,1,1,1,2,1,1
Total to Landfill,3180$\pm$1100,3990$\pm$1200,6590$\pm$1800,1730$\pm$530,331$\pm$110,1290$\pm$450,4000$\pm$1300,21100$\pm$2900,7160$\pm$1600,2.06$\pm$0.54,8,8,8,8,6,8,8,10,8,8
Total to Sludge amended soil,1.84$\pm$2.5,23.1$\pm$24,24.3$\pm$25,0.498$\pm$0.66,0.159$\pm$0.22,0.126$\pm$0.18,24.5$\pm$27,74.5$\pm$47,24.9$\pm$25,0.000657$\pm$0.0007,2,4,4,1,1,1,4,4,4,1
Total to Sludge amended soil (MP),8.43$\pm$3.8,21.6$\pm$9.5,96.4$\pm$40,4.18$\pm$1.8,0.259$\pm$0.17,25.9$\pm$12,41.4$\pm$17,198$\pm$47,30.1$\pm$10,0.00443$\pm$0.0019,2,4,4,2,1,4,4,6,4,2
External to Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
External to Production,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
